  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      23.19         84.54              2246              4242     32     32           2           6           6           6           6           6           6 
   2      23.19         84.15              4242              9272     32     32           6          20          20          16          16          16          16 
   3      23.17         84.97              9272             19312     32     32          16          60          60          36          36          36          36 
   4      23.16         83.79             19312             39432     32     32          36         144         144          76          76          76          76 
   5      23.19         85.66             39432             75600     32     32          76         324         324         148         148         148         148 
   6      23.15         85.07             75600            141030     32     32         148         664         664         278         278         278         278 
   7      23.16         86.19            141030            246560     32     32         278        1290        1290         488         488         488         488 
   8      23.16         88.54            246560            424100     32     32         488        2352        2352         840         840         840         840 
   9      23.15         90.55            424100            702388     32     32         840        4164        4164        1388        1388        1388        1388 
  10      23.15         92.82            702388           1136933     32     32        1388        7076        7076        2242        2242        2242        2242 
  11      23.15         97.41           1136933           1787885     32     32        2242       11700       11700        3518        3518        3518        3518 
  12      23.16        101.87           1787885           2760454     32     32        3518       18782       18782        5420        5420        5420        5420 
  13      23.15        109.76           2760454           4169009     32     32        5420       29482       29482        8154        8154        8154        8154 
  14      23.15        115.72           4169009           6208748     32     32        8154       45224       45224       12084       12084       12084       12084 
  15      23.15        124.93           6208748           9068149     32     32       12084       68096       68096       17566       17566       17566       17566 
  16      23.15        130.92           9068149          13063798     32     32       17566      100644      100644       25188       25188       25188       25188 
  17      23.15        143.56          13063798          18554709     32     32       25188      146348      146348       35548       35548       35548       35548 
  18      24.13        154.12          18554709          26058319     32     32       35548      209508      209508       49564       49564       49564       49564 
  19      23.14        167.05          26058319          36085148     32     32       49564      295744      295744       68154       68154       68154       68154 
  20      24.22        184.50          36085148          49462432     32     32       68154      411830      411830       92714       92714       92714       92714 
  21      24.14        202.16          49462432          67080804     32     32       92714      566458      566458      124608      124608      124608      124608 
  22      24.21        227.22          67080804          90104348     32     32      124608      769848      769848      165822      165822      165822      165822 
  23      30.21        259.71          90104348         119743039     32     32      165822     1034720     1034720      218318      218318      218318      218318 
  24      30.15        290.35         119743039         157904650     32     32      218318     1375936     1375936      284844      284844      284844      284844 
  25      31.14        334.64         157904650         206361485     32     32      284844     1811398     1811398      368052      368052      368052      368052 
  26      36.16        389.19         206361485         267444050     32     32      368052     2361646     2361646      471630      471630      471630      471630 
  27      41.17        454.60         267444050         343871437     32     32      471630     3050964     3050964      599036      599036      599036      599036 
  28      42.16        533.79         343871437         439135667     32     32      599036     3906634     3906634      754976      754976      754976      754976 
  29      48.17        631.05         439135667         556318211     32     32      754976     4960162     4960162      943828      943828      943828      943828 
  30      55.17        749.25         556318211         700113044     32     32      943828     6246434     6246434     1171392     1171392     1171392     1171392 
  31      60.19        895.93         700113044         875266315     32     32     1171392     7804740     7804740     1442898     1442898     1442898     1442898 
  32      72.20       1069.42         875266315        1087010002     32     32     1442898     9677698     9677698     1765284     1765284     1765284     1765284 
  33      84.22       1263.82        1087010002        1341143513     32     32     1765284    11912428    11912428     2144542     2144542     2144542     2144542 
  34      93.59       1504.38        1341143513        1645320650     32     32     2144542    14558820    14558820     2588552     2588552     2588552     2588552 
  35     111.24       1796.65        1645320650        2005885889     32     32     2588552    17670696    17670696     3103900     3103900     3103900     3103900 
  36     124.24       2124.43        2005885889        2432326099     32     32     3103900    21303964    21303964     3699174     3699174     3699168     4180135 
  37     138.27       2547.94        2432329994        2933513986     34     32     3699168    25517142    25517142     4381125     4381125     4381086     5394423 
  38     128.27       2970.86        2933518691        3518611058     36     32     4381086    30369354    30369354     5158692     5158692     5158608     7537349 
  39     131.70       3549.26        3518624996        4195800109     43     32     5158608    35920870    35920870     6038258     6038258     6038102     9498604 
  40     158.34       4106.25        4195817769        4976627660     46     32     6038102    42230224    42230224     7028441     7028441     7028256    10746089 
  41     190.31       4793.66        4976649139        5870863872     50     32     7028256    49354870    49354870     8134741     8134741     8134518    13252121 
  42     215.38       5586.39        5870890599        6889767491     55     32     8134518    57348062    57348062     9365027     9365027     9364650    15855747 
  43     227.81       6443.23        6889805352        8044961895     64     32     9364650    66258980    66258980    10722748    10722748    10722312    18982349 
  44     239.08       7379.12        8045013314        9348751069     73     32    10722312    76129650    76129650    12214238    12214238    12213700    22142461 
  45     299.46       8452.27        9348810259       10808093921     80     32    12213700    86995118    86995118    13840559    13840559    13839898    25112563 
  46     321.54       9624.36       10808168290       12437356356     93     32    13839898    98879810    98879810    15605412    15605412    15604634    28911577 
  47     354.46      10832.83       12437449747       14243912707    105     32    15604634   111798078   111798078    17506688    17506688    17505744    32784250 
  48     400.27      12247.51       14244013942       16234422735    119     32    17505744   125750874   126854274    20648212    19544812    19543786    37748213 
  49     454.63      13836.98       16234539195       18418638383    132     32    19543786   140725894   146084759    27072326    21713461    21712534    46829074 
  50     500.86      15470.30       18418790917       20802706504    150     32    21712534   156694902   164021009    31336142    24010035    24008924    53322465 
  51     544.71      17231.00       20802879890       23383660685    167     32    24008924   173614502   184907258    37715878    26423122    26422182    62072742 
  52     587.36      19123.33       23383876547       26172853676    187     32    26422182   191423218   204505281    42028340    28946277    28945114    69084686 
  53     653.71      21141.98       26173111475       29162415246    211     32    28945114   210043364   226754109    48274155    31563410    31562326    77907366 
  54     719.53      23122.40       29162702607       32346976489    230     32    31562326   229378852   246650728    51535619    34263743    34262446    83740245 
  55     759.40      25269.20       32347313498       35728617736    256     32    34262446   249317040   268987303    56697018    37026755    37025404    91771365 
  56     818.17      27223.77       35728990506       39310606430    278     32    37025404   269728012   292673258    62782727    39837481    39836102   101126006 
  57     862.69      29585.20       39310970883       43084665264    309     32    39836102   290466994   315651275    67856209    42671928    42670296   108823475 
  58     954.12      31760.28       43085059346       47011323555    334     32    42670296   311373962   344940384    79077197    45510775    45509640   123060368 
  59    1022.86      34264.54       47011714672       51039744016    365     32    45509640   332277378   366948510    82999195    48328063    48326754   129627358 
  60    1081.42      36540.72       51040141889       55164073179    391     32    48326754   352994580   392828975    90936690    51102295    51101070   140394964 
  61    1118.01      38600.01       55164517071       59370927071    423     32    51101070   373335498   414654606    95123530    53804422    53803096   147107229 
  62    1188.86      40915.79       59371425229       63622039678    459     32    53803096   393104376   439207449   102515793    56412720    56411536   157209996 
  63    1241.22      43017.46       63622585603       67890497797    487     32    56411536   412103920   459390246   106184019    58897693    58896262   163798864 
  64    1320.31      45029.74       67891091410       72151519558    515     32    58896262   430136922   479690825   110791898    61237995    61236572   170274607 
  65    1350.08      47066.46       72152177370       76344763390    550     32    61236572   447011194   497355674   113749634    63405154    63403530   175422295 
  66    1445.05      48872.09       76345468257       80453076774    583     32    63403530   462541460   514259962   117098880    65380378    65378632   181002150 
  67    1440.13      50436.16       80453822405       84429339222    611     32    65378632   476553416   531267876   121851704    67137244    67135578   187589740 
  68    1515.63      52083.28       84430119478       88224579570    642     32    67135578   488886566   546484054   126258751    68661263    68659802   193548669 
  69    1515.61      53196.48       88225425378       91816372456    670     32    68659802   499397448   558153925   128687288    69930811    69929176   197208915 
  70    1590.00      54918.80       91817272853       95160806702    696     32    69929176   507961602   569340259   132314365    70935708    70934200   201771824 
  71    1589.59      55476.41       95161799551       98207689102    723     32    70934200   514476990   575836063   133019141    71660068    71658388   203449333 
  72    1662.96      56468.88       98208699790      100949988631    743     32    71658388   518865010   582218419   135453249    72099840    72098316   206293394 
  73    1632.87      56975.67      100951008288      103326957435    764     32    72098316   521072408   584467517   135640454    72245345    72243812   206516989 
  74    1677.94      57355.05      103328056229      105320751208    783     32    72243812   521072408   583095921   134123581    72100068    72098316   205092003 
  75    1643.08      57197.69      105321890343      106914161512    798     32    72098316   518865010   581000821   133795894    71660083    71658388   204297156 
  76    1647.45      56698.07      106915376425      108069760406    811     32    71658388   514476990   576632959   133091806    70935837    70934200   202791702 
  77    1625.78      56202.89      108070999645      108782209546    820     32    70934200   507961602   567894114   129863508    69930996    69929176   198307429 
  78    1629.58      55724.77      108783492468      109053056871    821     32    69929176   499397448   558854184   128118267    68661531    68659802   195725257 
  79    1591.30      54638.07      109054332339      108851453766    827     32    68659802   488886566   547253615   125504356    67137307    67135578   191137689 
