  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      23.17         13.14              1064              2568      8      8           2           6           6           6           6           6           6 
   2      22.16         13.07              2568              6348      8      8           6          20          20          16          16          16          16 
   3      22.12         13.33              6348             13948      8      8          16          60          60          36          36          36          36 
   4      22.11         13.35             13948             29128      8      8          36         144         144          76          76          76          76 
   5      22.10         13.92             29128             56420      8      8          76         324         324         148         148         148         148 
   6      22.10         14.39             56420            102296      8      8         148         650         650         269         269         269         269 
   7      22.10         14.94            102296            179284      8      8         269        1232        1232         472         472         472         472 
   8      23.12         15.87            179284            301380      8      8         472        2218        2218         793         793         793         793 
   9      22.11         17.11            301380            491604      8      8         793        3838        3838        1290        1290        1290        1290 
  10      22.17         18.74            491604            777512      8      8        1290        6374        6374        2034        2034        2034        2034 
  11      22.10         20.38            777512           1198475      8      8        2034       10272       10272        3126        3126        3126        3126 
  12      23.11         22.34           1198475           1803670      8      8        3126       16074       16074        4691        4691        4691        4691 
  13      23.12         23.66           1803670           2663572      8      8        4691       24542       24542        6892        6892        6892        6892 
  14      23.10         26.91           2663572           3860252      8      8        6892       36620       36620        9924        9924        9924        9924 
  15      23.10         29.73           3860252           5494495      8      8        9924       53504       53504       14039       14039       14039       14039 
  16      23.12         32.21           5494495           7686905      8      8       14039       76680       76680       19523       19523       19523       19523 
  17      23.11         36.38           7686905          10612726      8      8       19523      107984      107984       26736       26736       26736       26736 
  18      24.09         40.40          10612726          14458383      8      8       26736      149570      149570       36068       36068       36068       36068 
  19      24.11         45.07          14458383          19428362      8      8       36068      203956      203956       48002       48002       48002       48002 
  20      24.12         51.29          19428362          25769545      8      8       48002      274156      274156       63044       63044       63044       63044 
  21      24.12         59.35          25769545          33818936      8      8       63044      363436      363436       81787       81787       81787       81787 
  22      30.10         68.18          33818936          43884045      8      8       81787      475614      475614      104848      104848      104848      104848 
  23      31.12         78.49          43884045          56307063      8      8      104848      614688      614688      132915      132915      132915      132915 
  24      33.14         91.79          56307063          71552738      8      8      132915      785182      785182      166672      166672      166672      166672 
  25      34.12        107.05          71552738          90094667      8      8      166672      991566      991566      206861      206861      206861      206861 
  26      40.12        124.44          90094667         112344556      8      8      206861     1238846     1238846      254172      254172      254172      254172 
  27      42.12        145.47         112344556         138826395      8      8      254172     1531500     1531500      309330      309330      309330      309330 
  28      49.13        172.01         138826395         170149196      8      8      309330     1874538     1874538      372950      372950      372950      372950 
  29      50.13        199.27         170149196         206831108      8      8      372950     2271966     2271966      445636      445636      445636      445636 
  30      63.14        233.80         206831108         249269503      8      8      445636     2728078     2728078      527826      527826      527826      527826 
  31      65.15        274.28         249269503         298108109      8      8      527826     3245580     3245580      619895      619895      619895      619895 
  32      79.17        318.49         298108109         353977477      8      8      619895     3827460     3827460      721997      721997      721997      721997 
  33      82.19        362.90         353977477         417153713      8      8      721997     4474320     4474320      834159      834159      834159      834159 
  34      96.16        411.49         417153713         487974755      8      8      834159     5186954     5186954      956142      956142      956142      956142 
  35     100.28        474.87         487974755         566832390      8      8      956142     5963160     5963160     1087545     1087545     1087545     1087545 
  36     120.22        539.16         566832390         653401661      8      8     1087545     6800916     6800916     1227649     1227649     1227649     1227649 
  37     124.21        604.79         653401661         747618398      8      8     1227649     7694650     7694650     1375567     1375567     1375567     1375567 
  38     126.21        689.85         747620007         849942550      9      8     1375567     8639176     8639176     1530076     1530076     1530073     1829249 
  39     139.21        761.72         849946442         959638493     11      8     1530073     9625188     9625188     1689797     1689797     1689777     2235199 
  40     175.30        830.98         959643386        1075749461     11      8     1689777    10644328    10644328     1853008     1853008     1852983     2380511 
  41     181.22        926.85        1075752574        1198457125     11      8     1852983    11683922    11683922     2017885     2017885     2017850     3079839 
  42     210.29       1007.86        1198460813        1326473886     12      8     2017850    12732742    12732742     2182349     2182349     2182301     3436053 
  43     209.27       1087.35        1326483148        1457893359     13      8     2182301    13775322    13775322     2344231     2344231     2344174     3574679 
  44     202.26       1154.83        1457900889        1592489333     14      8     2344174    14798596    14798596     2501198     2501198     2501157     3925914 
  45     210.29       1239.76        1592501895        1728816324     16      8     2501157    15785424    15785424     2651032     2651032     2650948     3823861 
  46     244.31       1313.07        1728824404        1865287984     16      8     2650948    16722102    16722102     2791248     2791248     2791200     3932319 
  47     248.33       1385.96        1865297092        2000078490     16      8     2791200    17591288    17591288     2919759     2919759     2919694     4238348 
  48     264.31       1446.28        2000087912        2130150969     17      8     2919694    18380180    18380180     3034367     3034367     3034274     4533419 
  49     261.33       1507.33        2130159426        2252585357     17      8     3034274    19072900    19072900     3133117     3133117     3133018     4796285 
  50     269.34       1567.91        2252597634        2367261275     19      8     3133018    19659094    19659094     3214322     3214322     3214199     4831249 
  51     262.32       1608.28        2367274700        2472628275     23      8     3214199    20125802    20125802     3276530     3276530     3276395     5211709 
  52     292.55       1645.44        2472651442        2565260740     23      8     3276395    20466584    20466584     3318626     3318626     3318493     5014723 
  53     298.36       1660.48        2565280905        2645009862     23      8     3318493    20672786    20672786     3339869     3339869     3339734     5176328 
  54     298.37       1666.23        2645026907        2710638017     24      8     3339734    20742720    20742720     3339884     3339884     3339734     5105297 
  55     304.39       1674.25        2710656074        2759025295     23      8     3339734    20672786    20672786     3318633     3318633     3318493     5368729 
  56     298.33       1654.96        2759044197        2790751546     24      8     3318493    20466584    20466584     3276534     3276534     3276395     4933544 
  57     287.34       1635.98        2790770431        2805372264     24      8     3276395    20125802    20125802     3214318     3214318     3214199     4527830 
  58     279.34       1604.10        2805391654        2800721802     24      8     3214199    19659094    19659094     3133157     3133157     3133018     4690916 
  59     282.31       1560.78        2800741060        2778346312     24      8     3133018    19072900    19072900     3034406     3034406     3034274     4250271 
  60     257.32       1506.38        2778371376        2738757409     24      8     3034274    18380180    18380180     2919807     2919807     2919694     3666758 
  61     266.34       1450.11        2738774576        2681023776     23      8     2919694    17591288    17591288     2791286     2791286     2791200     3361462 
  62     239.28       1382.80        2681045891        2608897242     24      8     2791200    16722102    16722102     2651048     2651048     2650948     3057414 
  63     240.31       1321.91        2608920358        2524349252     23      8     2650948    15785424    15785424     2501267     2501267     2501157     2891935 
  64     214.30       1238.16        2524369765        2424446642     23      8     2501157    14798596    14798596     2344280     2344280     2344174     2741089 
  65     215.29       1160.44        2424460974        2311486421     21      8     2344174    13775322    13775322     2182361     2182361     2182301     2431518 
  66     191.52       1079.84        2311501345        2188397645     20      8     2182301    12732742    12732742     2017912     2017912     2017850     2017912 
  67     182.26        996.10        2188410023        2056501344     20      8     2017850    11683922    11683922     1853032     1853032     1852983     1853032 
  68     170.27        910.77        2056510028        1919140658     18      8     1852983    10644328    10644328     1689830     1689830     1689777     1689830 
  69     165.23        828.09        1919148623        1778294440     16      8     1689777     9625188     9625188     1530109     1530109     1530073     1530109 
  70     149.22        754.32        1778308209        1635306892     16      8     1530073     8639176     8639176     1375605     1375605     1375567     1375605 
  71     125.21        680.69        1635313469        1492913933     16      8     1375567     7694650     7694650     1227689     1227689     1227649     1227689 
  72     113.25        611.05        1492919980        1352862282     15      8     1227649     6800916     6800916     1087583     1087583     1087545     1087583 
  73     109.20        534.67        1352867503        1216211541     13      8     1087545     5963160     5963160      956157      956157      956142      956157 
  74     104.18        474.04        1216219662        1084993537     13      8      956142     5186954     5186954      834181      834181      834159      834181 
  75      90.22        419.20        1084997387         960248270     12      8      834159     4474320     4474320      722019      722019      721997      722019 
  76      83.17        363.00         960253566         842657336     11      8      721997     3827460     3827460      619912      619912      619895      619912 
  77      69.14        317.51         842661989         733342092     11      8      619895     3245580     3245580      527841      527841      527826      527841 
  78      57.13        272.41         733344240         632769231     10      8      527826     2728078     2728078      445648      445648      445636      445648 
