  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      19.17         42.67              1622              3618     16     16           2           6           6           6           6           6           6 
   2      18.22         41.69              3618              8628     16     16           6          20          20          16          16          16          16 
   3      18.15         41.28              8628             18648     16     16          16          60          60          36          36          36          36 
   4      19.19         42.12             18648             38748     16     16          36         144         144          76          76          76          76 
   5      18.14         42.69             38748             74956     16     16          76         324         324         148         148         148         148 
   6      18.18         43.97             74956            140366     16     16         148         664         664         278         278         278         278 
   7      18.14         45.49            140366            245996     16     16         278        1290        1290         488         488         488         488 
   8      18.18         49.18            245996            423436     16     16         488        2352        2352         840         840         840         840 
   9      18.15         52.42            423436            701804     16     16         840        4164        4164        1388        1388        1388        1388 
  10      19.16         56.51            701804           1136469     16     16        1388        7076        7076        2242        2242        2242        2242 
  11      19.24         58.36           1136469           1787401     16     16        2242       11700       11700        3518        3518        3518        3518 
  12      19.16         62.57           1787401           2759950     16     16        3518       18782       18782        5420        5420        5420        5420 
  13      19.13         68.77           2759950           4168585     16     16        5420       29482       29482        8154        8154        8154        8154 
  14      19.34         74.64           4168585           6208344     16     16        8154       45224       45224       12084       12084       12084       12084 
  15      19.19         79.12           6208344           9067725     16     16       12084       68096       68096       17566       17566       17566       17566 
  16      20.15         85.25           9067725          13063474     16     16       17566      100644      100644       25188       25188       25188       25188 
  17      20.13         95.87          13063474          18554325     16     16       25188      146348      146348       35548       35548       35548       35548 
  18      20.14        104.82          18554325          26057935     16     16       35548      209508      209508       49564       49564       49564       49564 
  19      22.15        122.59          26057935          36084704     16     16       49564      295744      295744       68154       68154       68154       68154 
  20      27.15        138.80          36084704          49462048     16     16       68154      411830      411830       92714       92714       92714       92714 
  21      27.15        156.51          49462048          67080380     16     16       92714      566458      566458      124608      124608      124608      124608 
  22      29.15        182.55          67080380          90103884     16     16      124608      769848      769848      165822      165822      165822      165822 
  23      35.15        219.99          90103884         119742615     16     16      165822     1034720     1034720      218318      218318      218318      218318 
  24      36.14        257.30         119742615         157904206     16     16      218318     1375936     1375936      284844      284844      284844      284844 
  25      44.23        304.66         157904206         206361041     16     16      284844     1811398     1811398      368052      368052      368052      368052 
  26      53.16        364.33         206361041         267443626     16     16      368052     2361646     2361646      471630      471630      471630      471630 
  27      63.19        436.87         267443626         343871033     16     16      471630     3050964     3050964      599036      599036      599036      599036 
  28      76.18        528.07         343871033         439135243     16     16      599036     3906634     3906634      754976      754976      754976      754976 
  29      83.21        641.53         439135243         556317847     16     16      754976     4960162     4960162      943828      943828      943828      943828 
  30     105.21        777.39         556317847         700112660     16     16      943828     6246434     6246434     1171392     1171392     1171392     1171392 
  31     127.27        958.56         700112660         875265891     16     16     1171392     7804740     7804740     1442898     1442898     1442898     1442898 
  32     154.26       1154.29         875265891        1087009538     16     16     1442898     9677698     9677698     1765284     1765284     1765284     1765284 
  33     183.31       1394.21        1087009538        1341143049     16     16     1765284    11912428    11912428     2144542     2144542     2144542     2144542 
  34     215.74       1689.04        1341143049        1645320226     16     16     2144542    14558820    14558820     2588552     2588552     2588552     2588552 
  35     243.35       2008.74        1645320226        2005880825     16     16     2588552    17670696    17670696     3103900     3103900     3103900     3103900 
  36     322.46       2477.34        2005880825        2432333875     16     16     3103900    21303964    21303964     3699221     3699221     3699168     5853980 
  37     306.43       2935.40        2432351070        2933521222     27     16     3699168    25517142    25517142     4381242     4381242     4381086     8378324 
  38     304.63       3338.73        2933538437        3518602534     32     16     4381086    30369354    30369354     5158790     5158790     5158608     9060050 
  39     302.44       3858.87        3518616151        4195795345     32     16     5158608    35920870    35920870     6038301     6038301     6038102     9854828 
  40     321.48       4450.34        4195816856        4976626836     32     16     6038102    42230224    42230224     7028539     7028539     7028256    13289520 
  41     355.54       5161.23        4976666920        5870863208     48     16     7028256    49354870    49354870     8134919     8134919     8134518    15220465 
  42     400.06       5873.23        5870892698        6889767427     48     16     8134518    57348062    57348062     9365010     9365010     9364650    16415743 
  43     548.66       7100.53        6889823450        8044961631     64     16     9364650    66258980    66258980    10722873    10722873    10722312    20790702 
  44     550.46       8000.91        8045010638        9348750605     64     16    10722312    76129650    76129650    12214271    12214271    12213700    22143681 
  45     541.90       9060.34        9348829212       10808093497     80     16    12213700    86995118    86995118    13840691    13840691    13839898    26633902 
  46     595.96      10238.52       10808176484       12437355992     81     16    13839898    98879810    98879810    15605576    15605576    15604634    30864654 
  47     783.17      12162.38       12437460135       14243912303     96     16    15604634   111798078   120691593    26399777    17506262    17505744    41962075 
  48     768.44      13743.51       14244030546       16234422351    112     16    17505744   125750874   143132605    36925683    19543952    19543786    54733926 
  49     817.08      15188.26       16234567728       18418637979    128     16    19543786   140725894   157758612    38745542    21712824    21712534    58987548 
  50     999.09      17036.43       18418795032       20802706120    144     16    21712534   156694902   173403585    40718123    24009440    24008924    63408807 
  51     998.09      18651.23       20802899910       23383660261    160     16    24008924   173614502   190038748    42847158    26422912    26422182    68362832 
  52    1193.96      20723.43       23383886330       26172853292    182     16    26422182   191423218   207408036    44930940    28946122    28945114    72796816 
  53    1236.15      22765.59       26173103986       29162414802    201     16    28945114   210043364   235369491    56889003    31562876    31562326    87286883 
  54    1407.17      25212.67       29162706263       32346976345    223     16    31562326   229378852   260030111    64914105    34262846    34262446    98324520 
  55    1428.09      27066.32       32347301648       35728663372    248     16    34262446   249317040   279226938    66935952    37026054    37025404   102881408 
  56    1585.22      29361.33       35729066741       39310686986    273     16    37025404   269728012   299112034    69221102    39837080    39836102   108229235 
  57    1724.11      31842.84       39311090594       43084709800    299     16    39836102   290466994   325505265    77709325    42671054    42670296   119469728 
  58    1798.66      34122.97       43085103020       47011286131    326     16    42670296   311373962   353338151    87474327    45510138    45509640   132226563 
  59    1906.80      36558.95       47011680140       51039723012    356     16    45509640   332277378   373381761    89431938    48327555    48326754   136954037 
  60    2113.37      39005.78       51040130367       55164067155    385     16    48326754   352994580   394813852    92921334    51102062    51101070   142983920 
  61    2238.13      41581.30       55164511756       59370925407    418     16    51101070   373335498   421624745   102093071    53803824    53803096   155017413 
