  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
  62    2376.73      43751.79       59371425699       63622039114    447     16    53803096   393104376   444345428   107653333    56412281    56411536   163170755 
  63    2409.55      45961.70       63622613610       67890497453    483     16    56411536   412103920   462309227   109102722    58897415    58896262   167282815 
  64    2542.44      48263.08       67891130100       72151519274    512     16    58896262   430136922   485946146   117046632    61237408    61236572   177625940 
  65    2654.74      50375.94       72152185263       76344763006    542     16    61236572   447011194   506320284   122713331    63404241    63403530   185285488 
  66    2752.27      52081.88       76345486498       80453076430    575     16    63403530   462541460   521194720   124032893    65379633    65378632   188350617 
  67    2793.88      53787.18       80453864937       84429338838    607     16    65378632   476553416   538199436   128782542    67136522    67135578   195153121 
  68    2966.78      55614.42       84430135184       88224579166    636     16    67135578   488886566   551368026   131142268    68660808    68659802   199201847 
  69    3022.79      57301.04       88225412278       91816372092    664     16    68659802   499397448   563294643   133827375    69930180    69929176   203046959 
  70    3178.05      58518.83       91817289779       95160806298    694     16    69929176   507961602   573776448   136750030    70935184    70934200   207089953 
  71    3215.38      59401.82       95161763730       98207688698    714     16    70934200   514476990   581691021   138873319    71659288    71658388   209696454 
  72    3327.11      60272.14       98208710478      100949988247    739     16    71658388   518865010   585796425   139030750    72099335    72098316   210501027 
  73    3312.66      60647.97      100951057508      103326957011    757     16    72098316   521072408   587753781   138926293    72244920    72243812   210344772 
  74    3399.48      61301.72      103328084290      105320750764    776     16    72243812   521072408   587706335   138733347    72099420    72098316   210043915 
  75    3439.38      58790.58      105321910976       73442240904    821     26    72098316   518865010   564535951   117333417    49228499    49227535   188318056 
  76    2429.43      42023.79       73443053459       74331816449    561     21    49227535   353627199   397801408    92967508    48793299    48791869   141223323 
  77    1666.88      42023.79       73443053459       74331816449    561     21    49227535   353627199   397801408    92967508    48793299    48791869   141223323 
  78      11.29          5.16       73443053459               624    561     16    49227535   353627199           0           0           0           0           0 
  79      18.20         41.32               624               624     16     16           0           0           0           0           0           0           0 
  80      20.18         41.90               624               624     16     16           0           0           0           0           0           0           0 
  81      18.22         41.80               624               624     16     16           0           0           0           0           0           0           0 
  82      18.13         41.57               624               624     16     16           0           0           0           0           0           0           0 
  83      18.27         41.86               624               624     16     16           0           0           0           0           0           0           0 
  84      18.13         41.85               624               624     16     16           0           0           0           0           0           0           0 
  85      20.21         42.13               624               624     16     16           0           0           0           0           0           0           0 
  86      18.12         41.80               624               624     16     16           0           0           0           0           0           0           0 
  87      19.18         41.61               624               624     16     16           0           0           0           0           0           0           0 
  88      20.18         41.94               624               624     16     16           0           0           0           0           0           0           0 
  89      18.17         41.24               624               624     16     16           0           0           0           0           0           0           0 
  90      18.13         41.87               624               624     16     16           0           0           0           0           0           0           0 
  91      18.19         41.49               624               624     16     16           0           0           0           0           0           0           0 
  92      19.14         41.66               624               624     16     16           0           0           0           0           0           0           0 
  93      18.13         41.50               624               624     16     16           0           0           0           0           0           0           0 
  94      18.26         41.79               624               624     16     16           0           0           0           0           0           0           0 
  95      20.16         41.85               624               624     16     16           0           0           0           0           0           0           0 
  96      19.18         41.84               624               624     16     16           0           0           0           0           0           0           0 
  97      18.12         41.63               624               624     16     16           0           0           0           0           0           0           0 
  98      20.19         41.61               624               624     16     16           0           0           0           0           0           0           0 
  99      18.18         41.14               624               624     16     16           0           0           0           0           0           0           0 
 100      18.11         41.41               624               624     16     16           0           0           0           0           0           0           0 
 101      18.11         42.15               624               624     16     16           0           0           0           0           0           0           0 
 102      18.15         41.67               624               624     16     16           0           0           0           0           0           0           0 
 103      20.13         41.18               624               624     16     16           0           0           0           0           0           0           0 
 104      18.12         42.17               624               624     16     16           0           0           0           0           0           0           0 
 105      18.11         41.97               624               624     16     16           0           0           0           0           0           0           0 
 106      18.11         41.30               624               624     16     16           0           0           0           0           0           0           0 
 107      18.15         41.41               624               624     16     16           0           0           0           0           0           0           0 
 108      19.11         41.92               624               624     16     16           0           0           0           0           0           0           0 
 109      19.12         41.31               624               624     16     16           0           0           0           0           0           0           0 
 110      20.14         41.58               624               624     16     16           0           0           0           0           0           0           0 
 111      18.16         41.80               624               624     16     16           0           0           0           0           0           0           0 
 112      20.12         42.10               624               624     16     16           0           0           0           0           0           0           0 
 113      18.13         41.74               624               624     16     16           0           0           0           0           0           0           0 
 114      19.13         41.18               624               624     16     16           0           0           0           0           0           0           0 
 115      18.13         41.66               624               624     16     16           0           0           0           0           0           0           0 
 116      18.11         41.57               624               624     16     16           0           0           0           0           0           0           0 
 117      18.21         41.14               624               624     16     16           0           0           0           0           0           0           0 
 118      18.16         41.19               624               624     16     16           0           0           0           0           0           0           0 
 119      18.15         41.31               624               624     16     16           0           0           0           0           0           0           0 
 120      18.15         41.49               624               624     16     16           0           0           0           0           0           0           0 
 121      18.12         42.35               624               624     16     16           0           0           0           0           0           0           0 
 122      18.14         41.58               624               624     16     16           0           0           0           0           0           0           0 
 123      18.37         41.32               624               624     16     16           0           0           0           0           0           0           0 
 124      18.13         40.94               624               624     16     16           0           0           0           0           0           0           0 
 125      20.12         41.23               624               624     16     16           0           0           0           0           0           0           0 
 126      19.19         41.99               624               624     16     16           0           0           0           0           0           0           0 
 127      18.13         41.84               624               624     16     16           0           0           0           0           0           0           0 
 128      18.12         41.57               624               624     16     16           0           0           0           0           0           0           0 
 129      18.13         41.47               624               624     16     16           0           0           0           0           0           0           0 
 130      21.13         40.82               624               624     16     16           0           0           0           0           0           0           0 
 131      18.12         41.16               624               624     16     16           0           0           0           0           0           0           0 
 132      18.11         41.01               624               624     16     16           0           0           0           0           0           0           0 
 133      18.12         41.32               624               624     16     16           0           0           0           0           0           0           0 
 134      18.17         41.30               624               624     16     16           0           0           0           0           0           0           0 
 135      20.12         41.26               624               624     16     16           0           0           0           0           0           0           0 
 136      18.16         41.52               624               624     16     16           0           0           0           0           0           0           0 
 137      18.23         41.19               624               624     16     16           0           0           0           0           0           0           0 
 138      18.13         41.50               624               624     16     16           0           0           0           0           0           0           0 
 139      18.15         41.07               624               624     16     16           0           0           0           0           0           0           0 
 140      18.17         41.33               624               624     16     16           0           0           0           0           0           0           0 
 141      18.10         41.73               624               624     16     16           0           0           0           0           0           0           0 
 142      26.13         41.28               624               624     16     16           0           0           0           0           0           0           0 
 143      18.11         40.97               624               624     16     16           0           0           0           0           0           0           0 
 144      20.11         42.30               624               624     16     16           0           0           0           0           0           0           0 
 145      18.19         41.27               624               624     16     16           0           0           0           0           0           0           0 
