  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
  46    1902.94       9668.31       10808191608       12437355664     83      4    13839898    98879810   112748697    29473665    15604778    15604634    44988579 
  47    2149.89      10932.70       12437483254       14243911975     95      4    15604634   111798078   125255906    30963867    17506039    17505744    48188221 
  48    2424.89      12411.59       14244037786       16234422043    108      4    17505744   125750874   143625975    37419039    19543938    19543786    56622006 
  49    2773.29      13837.38       16234584167       18418637691    123      4    19543786   140725894   161349417    42336196    21712673    21712534    63905797 
  50    3091.64      15494.13       18418805480       20802705812    140      4    21712534   156694902   177751215    45065511    24009198    24008924    68871255 
  51    3522.33      17245.05       20802910851       23383659993    156      4    24008924   173614502   198677798    51485727    26422431    26422182    77606976 
  52    4005.07      19131.17       23383922576       26172852964    176      4    26422182   191423218   219811145    57333208    28945281    28945114    85931172 
  53    4332.42      21064.08       26173106648       29162414474    197      4    28945114   210043364   238142435    59661787    31562716    31562326    90606682 
  54    4797.64      23020.17       29162730522       32346975737    218      4    31562326   229378852   260338986    65222987    34262853    34262446    99307763 
  55    5248.53      25006.75       32347302483       35728639064    242      4    34262446   249317040   283322487    71031207    37025760    37025404   107469266 
  56    5630.82      27151.33       35729021466       39310783038    267      4    37025404   269728012   306798933    76907413    39836492    39836102   116583502 
  57    6156.66      29335.82       39311224872       43084841552    295      4    39836102   290466994   330363282    82567026    42670738    42670296   131999265 
  58    6711.85      31588.25       43085261999       47011331823    323      4    42670296   311373962   354082788    88218936    45510110    45509640   143542767 
  59    7327.68      34009.32       47011750572       51039715104    351      4    45509640   332277378   378151994    94201819    48327203    48326754   156391505 
  60    7831.79      36090.49       51040142537       55164057687    382      4    48326754   352994580   403813704   101920471    51101347    51101070   172657939 
  61    8495.24      38425.17       55164527108       59370917959    413      4    51101070   373335498   426696778   107164700    53803420    53803096   183648036 
  62    9057.73      40577.79       59371419410       63622036326    445      4    53803096   393104376   448163051   111470589    56411914    56411536   192361889 
  63    9664.87      38180.41       63622590138       63622036326    476     13    56411536   412103920   412103920    58902198    56411914    56411536   117118804 
  64      22.04          1.16       63622590138               156    476      4    56411536   412103920           0           0           0           0           0 
  65      15.15          6.66               156               156      4      4           0           0           0           0           0           0           0 
  66      14.23          6.85               156               156      4      4           0           0           0           0           0           0           0 
  67      15.37          6.75               156               156      4      4           0           0           0           0           0           0           0 
  68      15.09          6.81               156               156      4      4           0           0           0           0           0           0           0 
  69      14.12          6.72               156               156      4      4           0           0           0           0           0           0           0 
  70      15.14          7.09               156               156      4      4           0           0           0           0           0           0           0 
  71      15.12          6.88               156               156      4      4           0           0           0           0           0           0           0 
  72      15.16          6.92               156               156      4      4           0           0           0           0           0           0           0 
  73      14.36          6.90               156               156      4      4           0           0           0           0           0           0           0 
  74      15.13          6.78               156               156      4      4           0           0           0           0           0           0           0 
  75      15.15          6.90               156               156      4      4           0           0           0           0           0           0           0 
  76      14.11          6.83               156               156      4      4           0           0           0           0           0           0           0 
  77      15.11          6.72               156               156      4      4           0           0           0           0           0           0           0 
  78      15.09          6.93               156               156      4      4           0           0           0           0           0           0           0 
  79      15.12          6.75               156               156      4      4           0           0           0           0           0           0           0 
  80      14.27          6.80               156               156      4      4           0           0           0           0           0           0           0 
  81      15.22          6.98               156               156      4      4           0           0           0           0           0           0           0 
  82      15.13          6.74               156               156      4      4           0           0           0           0           0           0           0 
  83      15.13          6.85               156               156      4      4           0           0           0           0           0           0           0 
  84      15.10          6.82               156               156      4      4           0           0           0           0           0           0           0 
  85      15.11          6.86               156               156      4      4           0           0           0           0           0           0           0 
  86      15.10          6.86               156               156      4      4           0           0           0           0           0           0           0 
  87      15.09          6.85               156               156      4      4           0           0           0           0           0           0           0 
  88      15.17          6.63               156               156      4      4           0           0           0           0           0           0           0 
  89      15.16          6.80               156               156      4      4           0           0           0           0           0           0           0 
  90      15.09          6.94               156               156      4      4           0           0           0           0           0           0           0 
  91      15.11          6.79               156               156      4      4           0           0           0           0           0           0           0 
  92      15.16          6.78               156               156      4      4           0           0           0           0           0           0           0 
  93      15.19          6.91               156               156      4      4           0           0           0           0           0           0           0 
  94      15.10          6.72               156               156      4      4           0           0           0           0           0           0           0 
  95      15.10          6.75               156               156      4      4           0           0           0           0           0           0           0 
  96      15.10          6.92               156               156      4      4           0           0           0           0           0           0           0 
  97      24.12          7.01               156               156      4      4           0           0           0           0           0           0           0 
  98      15.15          7.10               156               156      4      4           0           0           0           0           0           0           0 
  99      14.10          6.94               156               156      4      4           0           0           0           0           0           0           0 
 100      15.11          6.77               156               156      4      4           0           0           0           0           0           0           0 
 101      15.12          6.89               156               156      4      4           0           0           0           0           0           0           0 
 102      14.10          6.73               156               156      4      4           0           0           0           0           0           0           0 
 103      15.10          7.00               156               156      4      4           0           0           0           0           0           0           0 
 104      15.09          6.86               156               156      4      4           0           0           0           0           0           0           0 
 105      15.09          6.88               156               156      4      4           0           0           0           0           0           0           0 
 106      15.10          6.64               156               156      4      4           0           0           0           0           0           0           0 
 107      14.12          6.77               156               156      4      4           0           0           0           0           0           0           0 
 108      14.10          6.66               156               156      4      4           0           0           0           0           0           0           0 
 109      14.10          6.65               156               156      4      4           0           0           0           0           0           0           0 
 110      14.20          6.87               156               156      4      4           0           0           0           0           0           0           0 
 111      15.32          6.73               156               156      4      4           0           0           0           0           0           0           0 
 112      15.09          7.01               156               156      4      4           0           0           0           0           0           0           0 
 113      15.12          6.82               156               156      4      4           0           0           0           0           0           0           0 
 114      15.10          6.66               156               156      4      4           0           0           0           0           0           0           0 
 115      14.10          6.68               156               156      4      4           0           0           0           0           0           0           0 
 116      15.15          6.99               156               156      4      4           0           0           0           0           0           0           0 
 117      15.19          6.86               156               156      4      4           0           0           0           0           0           0           0 
 118      14.09          6.78               156               156      4      4           0           0           0           0           0           0           0 
 119      15.21          6.65               156               156      4      4           0           0           0           0           0           0           0 
 120      14.11          6.58               156               156      4      4           0           0           0           0           0           0           0 
 121      15.10          6.87               156               156      4      4           0           0           0           0           0           0           0 
 122      14.09          6.75               156               156      4      4           0           0           0           0           0           0           0 
 123      15.12          6.84               156               156      4      4           0           0           0           0           0           0           0 
 124      15.09          6.63               156               156      4      4           0           0           0           0           0           0           0 
 125      14.08          6.85               156               156      4      4           0           0           0           0           0           0           0 
 126      15.30          6.86               156               156      4      4           0           0           0           0           0           0           0 
 127      15.22          6.77               156               156      4      4           0           0           0           0           0           0           0 
 128      15.60          6.48               156               156      4      4           0           0           0           0           0           0           0 
 129      15.10          6.86               156               156      4      4           0           0           0           0           0           0           0 
 130      15.14          6.82               156               156      4      4           0           0           0           0           0           0           0 
 131      15.11          6.96               156               156      4      4           0           0           0           0           0           0           0 
 132      15.14          6.71               156               156      4      4           0           0           0           0           0           0           0 
 133      15.09          6.75               156               156      4      4           0           0           0           0           0           0           0 
 134      14.11          6.73               156               156      4      4           0           0           0           0           0           0           0 
 135      15.18          6.69               156               156      4      4           0           0           0           0           0           0           0 
 136      15.09          6.92               156               156      4      4           0           0           0           0           0           0           0 
 137      15.13          6.82               156               156      4      4           0           0           0           0           0           0           0 
 138      15.12          6.81               156               156      4      4           0           0           0           0           0           0           0 
 139      15.10          6.68               156               156      4      4           0           0           0           0           0           0           0 
 140      15.11          6.77               156               156      4      4           0           0           0           0           0           0           0 
 141      14.10          6.71               156               156      4      4           0           0           0           0           0           0           0 
 142      16.10          7.06               156               156      4      4           0           0           0           0           0           0           0 
 143      14.10          6.79               156               156      4      4           0           0           0           0           0           0           0 
 144      15.12          6.74               156               156      4      4           0           0           0           0           0           0           0 
 145      15.19          6.63               156               156      4      4           0           0           0           0           0           0           0 
