  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      15.11          6.83              1154              3170      4      4           2           6           6           6           6           6           6 
   2      15.11          6.74              3170              8180      4      4           6          20          20          16          16          16          16 
   3      15.12          6.91              8180             18260      4      4          16          60          60          36          36          36          36 
   4      15.12          7.31             18260             38360      4      4          36         144         144          76          76          76          76 
   5      15.11          7.72             38360             74588      4      4          76         324         324         148         148         148         148 
   6      15.12          8.54             74588            139958      4      4         148         664         664         278         278         278         278 
   7      15.10          8.97            139958            245588      4      4         278        1290        1290         488         488         488         488 
   8      15.10         10.32            245588            423108      4      4         488        2352        2352         840         840         840         840 
   9      15.12         10.70            423108            701376      4      4         840        4164        4164        1388        1388        1388        1388 
  10      15.10         11.72            701376           1136101      4      4        1388        7076        7076        2242        2242        2242        2242 
  11      15.13         14.03           1136101           1787013      4      4        2242       11700       11700        3518        3518        3518        3518 
  12      15.09         14.98           1787013           2759642      4      4        3518       18782       18782        5420        5420        5420        5420 
  13      15.10         17.71           2759642           4168217      4      4        5420       29482       29482        8154        8154        8154        8154 
  14      16.10         19.26           4168217           6207976      4      4        8154       45224       45224       12084       12084       12084       12084 
  15      17.12         21.84           6207976           9067397      4      4       12084       68096       68096       17566       17566       17566       17566 
  16      17.10         25.35           9067397          13063166      4      4       17566      100644      100644       25188       25188       25188       25188 
  17      18.11         30.11          13063166          18554037      4      4       25188      146348      146348       35548       35548       35548       35548 
  18      19.22         36.40          18554037          26057607      4      4       35548      209508      209508       49564       49564       49564       49564 
  19      20.14         45.80          26057607          36084376      4      4       49564      295744      295744       68154       68154       68154       68154 
  20      23.12         56.43          36084376          49461700      4      4       68154      411830      411830       92714       92714       92714       92714 
  21      25.12         69.93          49461700          67080052      4      4       92714      566458      566458      124608      124608      124608      124608 
  22      29.46         88.96          67080052          90103616      4      4      124608      769848      769848      165822      165822      165822      165822 
  23      35.14        111.18          90103616         119742307      4      4      165822     1034720     1034720      218318      218318      218318      218318 
  24      41.13        140.42         119742307         157903878      4      4      218318     1375936     1375936      284844      284844      284844      284844 
  25      50.15        180.87         157903878         206360713      4      4      284844     1811398     1811398      368052      368052      368052      368052 
  26      61.18        228.60         206360713         267443318      4      4      368052     2361646     2361646      471630      471630      471630      471630 
  27      79.19        287.37         267443318         343870685      4      4      471630     3050964     3050964      599036      599036      599036      599036 
  28      92.20        364.78         343870685         439134935      4      4      599036     3906634     3906634      754976      754976      754976      754976 
  29     113.23        464.63         439134935         556317519      4      4      754976     4960162     4960162      943828      943828      943828      943828 
  30     133.25        604.09         556317519         700112352      4      4      943828     6246434     6246434     1171418     1171418     1171392     2342836 
  31     165.32        751.26         700118242         875265563      8      4     1171392     7804740     7804740     1442933     1442933     1442898     2581322 
  32     197.36        895.41         875271705        1087009210      8      4     1442898     9677698     9677698     1765340     1765340     1765284     2877242 
  33     242.42       1128.77        1087013560        1341142741      8      4     1765284    11912428    11912428     2144612     2144612     2144542     4289224 
  34     302.45       1422.24        1341153851        1645319878     12      4     2144542    14558820    14558820     2588644     2588644     2588552     4711955 
  35     354.50       1675.43        1645332639        2005887357     13      4     2588552    17670696    17670696     3104038     3104038     3103900     6181661 
  36     425.62       2015.13        2005902239        2432342647     16      4     3103900    21303964    21303964     3699295     3699295     3699168     6736073 
  37     509.66       2418.69        2432366402        2933506934     20      4     3699168    25517142    25517142     4381254     4381254     4381086     8282864 
  38     600.04       2875.38        2933529187        3518610446     24      4     4381086    30369354    30369354     5158832     5158832     5158608     9900909 
  39     722.40       3538.62        3518636425        4195788817     28      4     5158608    35920870    41280180    11397441     6038131     6038102    16947568 
  40     821.64       4112.70        4195816094        4976622608     32      4     6038102    42230224    47534914    12333020     7028330     7028256    18666007 
  41     967.50       4803.70        4976661654        5870861500     40      4     7028256    49354870    54554777    13334620     8134713     8134518    21252319 
  42    1111.46       5546.15        5870904193        6889766139     44      4     8134518    57348062    62512192    14529011     9364881     9364650    23536022 
  43    1287.62       6511.08        6889821480        8044960963     52      4     9364650    66258980    75991470    20454855    10722365    10722312    30528571 
  44    1471.65       7413.59        8045022834        9348750237     60      4    10722312    76129650    85910102    21994326    12213874    12213700    34031592 
  45    1693.98       8477.08        9348828308       10808093149     72      4    12213700    86995118    97636756    24481733    13840095    13839898    38035830 
