  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      15.23         74.03              2000              3504     32     32           2           6           6           6           6           6           6 
   2      15.17         73.79              3504              7284     32     32           6          20          20          16          16          16          16 
   3      15.14         74.43              7284             14844     32     32          16          60          60          36          36          36          36 
   4      15.14         74.44             14844             30004     32     32          36         144         144          76          76          76          76 
   5      15.14         74.93             30004             57316     32     32          76         324         324         148         148         148         148 
   6      15.13         74.74             57316            103172     32     32         148         650         650         269         269         269         269 
   7      15.13         76.08            103172            180120     32     32         269        1232        1232         472         472         472         472 
   8      15.13         77.58            180120            302216     32     32         472        2218        2218         793         793         793         793 
   9      15.13         79.82            302216            492360     32     32         793        3838        3838        1290        1290        1290        1290 
  10      15.14         81.79            492360            778268     32     32        1290        6374        6374        2034        2034        2034        2034 
  11      15.13         85.49            778268           1199191     32     32        2034       10272       10272        3126        3126        3126        3126 
  12      15.14         89.36           1199191           1804326     32     32        3126       16074       16074        4691        4691        4691        4691 
  13      15.13         94.37           1804326           2664228     32     32        4691       24542       24542        6892        6892        6892        6892 
  14      15.13         99.57           2664228           3860888     32     32        6892       36620       36620        9924        9924        9924        9924 
  15      15.13        106.63           3860888           5495231     32     32        9924       53504       53504       14039       14039       14039       14039 
  16      15.12        110.75           5495231           7687561     32     32       14039       76680       76680       19523       19523       19523       19523 
  17      15.20        118.74           7687561          10613382     32     32       19523      107984      107984       26736       26736       26736       26736 
  18      15.13        125.38          10613382          14458899     32     32       26736      149570      149570       36068       36068       36068       36068 
  19      16.13        133.82          14458899          19428798     32     32       36068      203956      203956       48002       48002       48002       48002 
  20      16.14        141.36          19428798          25770421     32     32       48002      274156      274156       63044       63044       63044       63044 
  21      16.14        153.36          25770421          33819732     32     32       63044      363436      363436       81787       81787       81787       81787 
  22      16.13        163.75          33819732          43884741     32     32       81787      475614      475614      104848      104848      104848      104848 
  23      16.11        176.64          43884741          56307739     32     32      104848      614688      614688      132915      132915      132915      132915 
  24      16.13        193.21          56307739          71553354     32     32      132915      785182      785182      166672      166672      166672      166672 
  25      16.14        209.72          71553354          90095323     32     32      166672      991566      991566      206861      206861      206861      206861 
  26      16.12        231.05          90095323         112345212     32     32      206861     1238846     1238846      254172      254172      254172      254172 
  27      21.12        263.81         112345212         138826991     32     32      254172     1531500     1531500      309330      309330      309330      309330 
  28      22.13        290.87         138826991         170149852     32     32      309330     1874538     1874538      372950      372950      372950      372950 
  29      23.13        321.62         170149852         206831784     32     32      372950     2271966     2271966      445636      445636      445636      445636 
  30      28.15        355.95         206831784         249270179     32     32      445636     2728078     2728078      527826      527826      527826      527826 
  31      28.34        394.88         249270179         298108725     32     32      527826     3245580     3245580      619895      619895      619895      619895 
  32      29.18        439.08         298108725         353976873     32     32      619895     3827460     3827460      721997      721997      721997      721997 
  33      29.12        484.43         353976873         417151909     32     32      721997     4474320     4474320      834159      834159      834159      834159 
  34      35.14        536.83         417151909         487975131     32     32      834159     5186954     5186954      956142      956142      956142      956142 
  35      36.29        591.36         487975131         566833986     32     32      956142     5963160     5963160     1087545     1087545     1087545     1087545 
  36      41.18        656.67         566833986         653402997     32     32     1087545     6800916     6800916     1227649     1227649     1227649     1227649 
  37      42.15        719.52         653402997         747619574     32     32     1227649     7694650     7694650     1375567     1375567     1375567     1375567 
  38      48.20        792.13         747619574         849943286     32     32     1375567     8639176     8639176     1530073     1530073     1530073     1530073 
  39      49.16        862.67         849943286         959639189     32     32     1530073     9625188     9625188     1689777     1689777     1689777     1689777 
  40      55.17        936.96         959639189        1075750097     32     32     1689777    10644328    10644328     1852983     1852983     1852983     1852983 
  41      57.16       1016.55        1075750097        1198457821     32     32     1852983    11683922    11683922     2017850     2017850     2017850     2017850 
  42      68.19       1094.01        1198457821        1326474522     32     32     2017850    12732742    12732742     2182301     2182301     2182301     2182301 
  43      60.17       1162.79        1326474522        1457893995     32     32     2182301    13775322    13775322     2344174     2344174     2344174     2344174 
  44      70.23       1244.79        1457893995        1592490009     32     32     2344174    14798596    14798596     2501157     2501157     2501157     2501157 
  45      70.20       1317.84        1592490009        1728816180     32     32     2501157    15785424    15785424     2650948     2650948     2650948     2650948 
  46      83.25       1392.21        1728816180        1865272280     32     32     2650948    16722102    16722102     2791200     2791200     2791200     2791200 
  47      75.19       1452.76        1865272280        2000078866     32     32     2791200    17591288    17591288     2919694     2919694     2919694     2919694 
