  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
  64     372.56      15871.38        6879695899        7186118719     64     64    58896262   430136922   491374326   122473976    61236572    61236572   122473976 
  65     388.56      16635.22        7186118719        7473749344     64     64    61236572   447011194   510415547   126807883    63403530    63403530   126807883 
  66     404.05      17094.96        7473749344        7739634099     64     64    63403530   462541460   527920914   130758086    65378632    65378632   130758086 
  67     454.62      17670.74        7739634099        7980435682     64     64    65378632   476553416   543689882   134272044    67135578    67135578   134272044 
  68     445.57      18130.13        7980435682        8194771412     64     64    67135578   488886566   557547287   137320523    68659802    68659802   137320523 
  69     460.61      18562.81        8194771412        8380544498     64     64    68659802   499397448   569327557   139859285    69929176    69929176   139859285 
  70     449.63      18871.44        8380544498        8536711206     64     64    69929176   507961602   578896793   141869391    70934200    70934200   141869391 
  71     463.18      18979.50        8536713862        8660815682     66     64    70934200   514476990   585921260   143102673    71658403    71658388   143102673 
  72     458.66      19238.43        8660819356        8751526926     67     64    71658388   518865010   590634937   143868257    72098330    72098316   143868257 
  73     454.66      19193.84        8751529023        8806570239     66     64    72098316   521072408   593091442   144262858    72243824    72243812   144262858 
  74     467.62      19337.64        8806574594        8825472932     67     64    72243812   521072408   592839392   143865323    72098339    72098316   143865323 
  75     454.62      19143.85        8825480314        8807197696     69     64    72098316   518865010   589943861   142737254    71658403    71658388   142737254 
  76     446.60      19040.07        8807205548        8752757100     69     64    71658388   514476990   584791104   141248341    70934227    70934200   141248341 
  77     447.74      18766.59        8752759595        8662735444     68     64    70934200   507961602   577440545   139408138    69929195    69929176   139408138 
  78     443.74      18565.77        8662738005        8539292179     66     64    69929176   499397448   567850001   137112368    68659815    68659802   137112368 
  79     431.59      18196.47        8539292357        8383523668     65     64    68659802   488886566   555918513   134167531    67135584    67135578   134167531 
  80     447.72      17681.03        8383525329        8197744154     65     64    67135578   476553416   541805576   130630798    65378638    65378632   130630798 
  81     409.57      17122.97        8197744154        7983102929     64     64    65378632   462541460   525945759   126807829    63403530    63403530   126807829 
  82     394.10      16651.79        7983102929        7742092577     64     64    63403530   447011194   508248547   122473925    61236572    61236572   122473925 
  83     378.76      15976.31        7742092577        7476445333     64     64    61236572   430136922   489033958   117793298    58896262    58896262   117793298 
  84     385.79      15364.81        7476445333        7189459798     64     64    58896262   412103920   468516270   112823886    56411536    56411536   112823886 
  85     347.54      14680.15        7189459798        6883639447     64     64    56411536   393104376   446908290   107607010    53803096    53803096   107607010 
  86     346.53      14062.72        6883639447        6562914140     64     64    53803096   373335498   423703795   101469370    51101073    51101070   102202935 
  87     329.50      13243.93        6562914140        6230266383     64     64    51101070   352994580   387029373    82361668    48326875    48326754    96654297 
  88     303.49      12426.74        6230266383        5889584323     64     64    48326754   332277378   347259543    60492086    45509921    45509640    91020088 
  89     293.48      11669.93        5889584323        5543487468     64     64    45509640   311373962   312855048    44151789    42670703    42670296    85341424 
  90     264.66      10943.65        5543487468        5195430096     64     64    42670296   290466994   290466994    39836501    39836501    39836102    79673002 
  91     249.99      10152.94        5195430096        4847759761     64     64    39836102   269728012   269728012    37025789    37025789    37025404    74051578 
  92     228.38       9396.94        4847759761        4503620896     64     64    37025404   249317040   249317040    34262829    34262829    34262446    68525658 
  93     209.36       8734.78        4503620896        4164956094     64     64    34262446   229378852   229378852    31562732    31562732    31562326    63125464 
  94     203.64       8055.83        4164956094        3834444169     64     64    31562326   210043364   210043364    28945489    28945489    28945114    57890978 
  95     197.56       7429.34        3834444169        3513743047     64     64    28945114   191423218   191423218    26422547    26422547    26422182    52845094 
  96     185.39       6726.78        3513743047        3205111729     64     64    26422182   173614502   173614502    24009103    24009103    24008924    37559663 
  97     170.33       6059.53        3205111729        2909756055     64     64    24008924   156694902   156694902    21712540    21712540    21712534    22083171 
  98     154.30       5455.28        2909756055        2629287767     64     64    21712534   140725894   140725894    19543786    19543786    19543786    19543786 
  99     142.39       4912.75        2629287767        2364311258     64     64    19543786   125750874   125750874    17505744    17505744    17505744    17505744 
 100     126.27       4423.35        2364311258        2115841323     64     64    17505744   111798078   111798078    15604634    15604634    15604634    15604634 
