  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      15.15         13.15              1310              3326      8      8           2           6           6           6           6           6           6 
   2      14.12         13.25              3326              8336      8      8           6          20          20          16          16          16          16 
   3      15.11         13.42              8336             18396      8      8          16          60          60          36          36          36          36 
   4      15.12         13.58             18396             38516      8      8          36         144         144          76          76          76          76 
   5      14.10         13.97             38516             74744      8      8          76         324         324         148         148         148         148 
   6      14.10         14.73             74744            140114      8      8         148         664         664         278         278         278         278 
   7      14.11         15.24            140114            245704      8      8         278        1290        1290         488         488         488         488 
   8      15.11         15.75            245704            423244      8      8         488        2352        2352         840         840         840         840 
   9      14.10         17.16            423244            701592      8      8         840        4164        4164        1388        1388        1388        1388 
  10      15.11         18.47            701592           1136257      8      8        1388        7076        7076        2242        2242        2242        2242 
  11      15.12         20.62           1136257           1787109      8      8        2242       11700       11700        3518        3518        3518        3518 
  12      15.13         22.97           1787109           2759758      8      8        3518       18782       18782        5420        5420        5420        5420 
  13      15.11         25.35           2759758           4168333      8      8        5420       29482       29482        8154        8154        8154        8154 
  14      15.12         28.11           4168333           6208112      8      8        8154       45224       45224       12084       12084       12084       12084 
  15      15.10         31.56           6208112           9067513      8      8       12084       68096       68096       17566       17566       17566       17566 
  16      15.11         35.81           9067513          13063262      8      8       17566      100644      100644       25188       25188       25188       25188 
  17      15.11         41.43          13063262          18554133      8      8       25188      146348      146348       35548       35548       35548       35548 
  18      21.13         48.54          18554133          26057723      8      8       35548      209508      209508       49564       49564       49564       49564 
  19      20.10         58.13          26057723          36084452      8      8       49564      295744      295744       68154       68154       68154       68154 
  20      21.12         68.96          36084452          49461796      8      8       68154      411830      411830       92714       92714       92714       92714 
  21      21.14         83.27          49461796          67080168      8      8       92714      566458      566458      124608      124608      124608      124608 
  22      32.12        102.26          67080168          90103712      8      8      124608      769848      769848      165822      165822      165822      165822 
  23      32.18        126.13          90103712         119742403      8      8      165822     1034720     1034720      218318      218318      218318      218318 
  24      43.54        155.43         119742403         157903974      8      8      218318     1375936     1375936      284844      284844      284844      284844 
  25      44.19        192.47         157903974         206360809      8      8      284844     1811398     1811398      368052      368052      368052      368052 
  26      60.17        246.12         206360809         267443394      8      8      368052     2361646     2361646      471630      471630      471630      471630 
  27      69.16        301.93         267443394         343870801      8      8      471630     3050964     3050964      599036      599036      599036      599036 
  28      93.22        376.49         343870801         439135031      8      8      599036     3906634     3906634      754976      754976      754976      754976 
  29      98.21        465.57         439135031         556317635      8      8      754976     4960162     4960162      943828      943828      943828      943828 
  30     126.23        583.51         556317635         700112468      8      8      943828     6246434     6246434     1171395     1171395     1171392     1480636 
  31     131.27        740.62         700116374         875265699     11      8     1171392     7804740     7804740     1442923     1442923     1442898     2285977 
  32     131.24        907.10         875269220        1087009326     11      8     1442898     9677698     9677698     1765323     1765323     1765284     2602567 
  33     146.27       1096.08        1087015002        1341142817     11      8     1765284    11912428    11912428     2144597     2144597     2144542     3485618 
  34     188.39       1369.00        1341147786        1645319954     14      8     2144542    14558820    14558820     2588633     2588633     2588552     4185226 
  35     206.33       1654.79        1645332174        2005887353     16      8     2588552    17670696    17670696     3103982     3103982     3103900     5192813 
  36     240.37       1978.69        2005900667        2432333683     17      8     3103900    21303964    21303964     3699272     3699272     3699168     5994647 
  37     297.84       2325.52        2432347035        2933521650     21      8     3699168    25517142    25517142     4381246     4381246     4381086     8056677 
  38     334.47       2783.05        2933541653        3518607842     26      8     4381086    30369354    30369354     5158827     5158827     5158608     9698485 
  39     395.55       3376.22        3518635959        4195794793     31      8     5158608    35920870    37243548     7361002     6038324     6038102    12896879 
  40     466.27       3986.64        4195821751        4976622944     32      8     6038102    42230224    46087777    10885942     7028389     7028256    17229358 
  41     533.59       4673.27        4976659817        5870861536     42      8     7028256    49354870    53153364    11933219     8134725     8134518    19435569 
  42     607.66       5378.00        5870906888        6889766215     48      8     8134518    57348062    61124517    13141395     9364940     9364650    21757573 
  43     691.91       6220.48        6889822900        8044961039     55      8     9364650    66258980    72380012    16843607    10722575    10722312    26913457 
  44     802.05       7209.87        8045036313        9348750253     62      8    10722312    76129650    83407740    19492094    12214004    12213700    31141603 
  45     895.16       8295.59        9348826431       10808093285     72      8    12213700    86995118    96463344    23308418    13840192    13839898    36657133 
  46    1008.41       9345.22       10808184307       12437355760     84      8    13839898    98879810   108165899    24891137    15605048    15604634    39679066 
  47    1145.46      10680.18       12437469496       14243912091     95      8    15604634   111798078   124166177    29874200    17506101    17505744    47143098 
  48    1277.48      12092.15       14244039698       16234422119    110      8    17505744   125750874   142378125    36171285    19544034    19543786    55370290 
  49    1424.36      13452.00       16234578666       18418637807    125      8    19543786   140725894   157944868    38931892    21712918    21712534    60339224 
  50    1585.72      15018.79       18418819410       20802705928    140      8    21712534   156694902   176818885    44133229    24009246    24008924    67328705 
  51    1747.65      16737.77       20802908990       23383660109    160      8    24008924   173614502   196437492    49245504    26422514    26422182    75055039 
  52    1931.15      18482.82       23383913967       26172853040    179      8    26422182   191423218   217546219    55068414    28945413    28945114    83362659 
  53    2123.82      20318.48       26173102184       29162414610    200      8    28945114   210043364   237762723    59282087    31562728    31562326    90122572 
  54    2334.35      22317.96       29162712735       32346975753    220      8    31562326   229378852   260518817    65402747    34262782    34262446    98906219 
  55    2532.48      24235.94       32347322775       35728625780    246      8    34262446   249317040   280649761    68358737    37026016    37025404   104551278 
  56    2764.44      26202.59       35729002703       39310715354    270      8    37025404   269728012   306633293    76741818    39836537    39836102   115995441 
  57    3041.92      28523.04       39311134252       43084816328    299      8    39836102   290466994   329246111    81450003    42670886    42670296   123339757 
  58    3298.79      30537.55       43085215491       47011332119    324      8    42670296   311373962   353923748    88059835    45510049    45509640   132394669 
  59    3621.33      32703.63       47011750479       51039712540    353      8    45509640   332277378   376339829    92389864    48327413    48326754   141323968 
  60    3861.86      35007.19       51040143934       55164053943    385      8    48326754   352994580   400378124    98485238    51101694    51101070   150591490 
  61    4333.95      37107.28       55164516783       59370920115    414      8    51101070   373335498   423820384   104288578    53803692    53803096   162788837 
  62    4398.20      39145.97       59371425807       63622036522    445      8    53803096   393104376   446304147   109611851    56412080    56411536   172886388 
  63    4639.56      41207.26       63622603623       67890496421    477      8    56411536   412103920   468290971   115083916    58896865    58896262   182412312 
  64    4899.06      43044.28       67891106164       72151518922    508      8    58896262   430136922   487364898   118465244    61237268    61236572   189479250 
  65    5128.26      44923.47       72152179283       76344762734    541      8    61236572   447011194   507424330   123817341    63404205    63403530   198447111 
  66    5390.32      46803.37       76345468959       80453076178    572      8    63403530   462541460   525703901   128541668    65379227    65378632   208931887 
  67    5659.16      48297.45       80453834227       84429338646    604      8    65378632   476553416   541894037   132476788    67136167    67135578   216459721 
  68    5927.99      49703.21       84430119138       88224578954    631      8    67135578   488886566   554818782   134592736    68660520    68659802   222234236 
  69    6094.79      50903.68       88225450086       91816371860    659      8    68659802   499397448   565891425   136423968    69929991    69929176   226298705 
  70    6078.70      51972.85       91817311633       95160806106    685      8    69929176   507961602   576075684   139049036    70934954    70934200   233854670 
  71    6316.55      53115.16       95161799271       98207688466    714      8    70934200   514476990   584196144   141378265    71659111    71658388   236823030 
  72    6009.09      49407.07       98208730546       21136494687    765     20    71658388   518865010   533057121    86297666    15062705    15062540   155834019 
  73    1214.61      11581.77       21136721584       21615313148    159      8    15062540   113618044   125679180    27135199    15074063    15073596    42071694 
  74    2018.91      11965.44       21615551201       13531127265    170     22    15073596   112115768   120871098    58967707     9360495     9360460   107892243 
  75     824.18       7523.08       13531261726       18353584425    102      8     9360460    69772485    80978967    23670030    12463548    12463339    36039635 
  76    1374.10       9735.73       18353782629        9149683718    153     17    12463339    91194842    96886216    50003987     6151195     6151165    93410573 
  77     650.12       5355.54        9149780800       18633953888     69      8     6151165    45935520    56407880    22817547    12345187    12344920    34907468 
  78    3449.65       8389.74       17049394051       18633953888    164     12    11289997    82571533    82571533    36218577    12345187    12344920    72437154 
  79       8.23          1.95       17049394051               312    164      8    11289997    82571533           0           0           0           0           0 
  80      15.21         13.30               312               312      8      8           0           0           0           0           0           0           0 
  81      15.24         13.29               312               312      8      8           0           0           0           0           0           0           0 
  82      14.10         13.31               312               312      8      8           0           0           0           0           0           0           0 
  83      15.10         13.37               312               312      8      8           0           0           0           0           0           0           0 
  84      15.08         13.32               312               312      8      8           0           0           0           0           0           0           0 
  85      14.11         13.29               312               312      8      8           0           0           0           0           0           0           0 
  86      15.12         13.35               312               312      8      8           0           0           0           0           0           0           0 
  87      14.13         13.36               312               312      8      8           0           0           0           0           0           0           0 
  88      15.10         13.20               312               312      8      8           0           0           0           0           0           0           0 
  89      14.08         13.36               312               312      8      8           0           0           0           0           0           0           0 
  90      14.10         13.31               312               312      8      8           0           0           0           0           0           0           0 
  91      14.10         13.27               312               312      8      8           0           0           0           0           0           0           0 
  92      15.09         13.35               312               312      8      8           0           0           0           0           0           0           0 
  93      15.11         13.48               312               312      8      8           0           0           0           0           0           0           0 
  94      21.10         14.13               312               312      8      8           0           0           0           0           0           0           0 
  95      15.13         13.31               312               312      8      8           0           0           0           0           0           0           0 
  96      15.09         13.29               312               312      8      8           0           0           0           0           0           0           0 
  97      14.12         13.45               312               312      8      8           0           0           0           0           0           0           0 
  98      15.62         13.36               312               312      8      8           0           0           0           0           0           0           0 
  99      15.09         13.38               312               312      8      8           0           0           0           0           0           0           0 
 100      15.11         13.48               312               312      8      8           0           0           0           0           0           0           0 
 101      14.29         13.36               312               312      8      8           0           0           0           0           0           0           0 
 102      15.10         13.42               312               312      8      8           0           0           0           0           0           0           0 
 103      14.08         13.39               312               312      8      8           0           0           0           0           0           0           0 
 104      14.13         13.27               312               312      8      8           0           0           0           0           0           0           0 
 105      23.12         13.26               312               312      8      8           0           0           0           0           0           0           0 
 106      14.16         13.31               312               312      8      8           0           0           0           0           0           0           0 
 107      15.09         13.30               312               312      8      8           0           0           0           0           0           0           0 
 108      14.12         13.47               312               312      8      8           0           0           0           0           0           0           0 
 109      14.08         13.24               312               312      8      8           0           0           0           0           0           0           0 
 110      14.14         13.37               312               312      8      8           0           0           0           0           0           0           0 
 111      14.13         13.16               312               312      8      8           0           0           0           0           0           0           0 
 112      15.21         13.28               312               312      8      8           0           0           0           0           0           0           0 
 113      14.10         13.30               312               312      8      8           0           0           0           0           0           0           0 
 114      15.08         13.21               312               312      8      8           0           0           0           0           0           0           0 
 115      14.12         13.37               312               312      8      8           0           0           0           0           0           0           0 
 116      15.09         13.33               312               312      8      8           0           0           0           0           0           0           0 
 117      14.19         13.28               312               312      8      8           0           0           0           0           0           0           0 
 118      14.10         13.36               312               312      8      8           0           0           0           0           0           0           0 
 119      14.14         13.34               312               312      8      8           0           0           0           0           0           0           0 
 120      15.10         13.41               312               312      8      8           0           0           0           0           0           0           0 
 121      14.10         13.25               312               312      8      8           0           0           0           0           0           0           0 
 122      14.23         13.27               312               312      8      8           0           0           0           0           0           0           0 
 123      15.17         13.35               312               312      8      8           0           0           0           0           0           0           0 
 124      14.13         13.26               312               312      8      8           0           0           0           0           0           0           0 
 125      14.09         13.38               312               312      8      8           0           0           0           0           0           0           0 
 126      14.10         13.16               312               312      8      8           0           0           0           0           0           0           0 
 127      15.09         13.35               312               312      8      8           0           0           0           0           0           0           0 
 128      15.09         13.29               312               312      8      8           0           0           0           0           0           0           0 
 129      14.08         13.31               312               312      8      8           0           0           0           0           0           0           0 
 130      14.28         13.27               312               312      8      8           0           0           0           0           0           0           0 
 131      14.12         13.41               312               312      8      8           0           0           0           0           0           0           0 
 132      14.18         13.18               312               312      8      8           0           0           0           0           0           0           0 
 133      15.08         13.27               312               312      8      8           0           0           0           0           0           0           0 
 134      14.11         13.28               312               312      8      8           0           0           0           0           0           0           0 
 135      14.13         13.39               312               312      8      8           0           0           0           0           0           0           0 
 136      14.15         13.26               312               312      8      8           0           0           0           0           0           0           0 
 137      15.09         13.36               312               312      8      8           0           0           0           0           0           0           0 
 138      15.13         13.37               312               312      8      8           0           0           0           0           0           0           0 
 139      15.20         13.31               312               312      8      8           0           0           0           0           0           0           0 
 140      15.12         13.46               312               312      8      8           0           0           0           0           0           0           0 
 141      14.15         13.31               312               312      8      8           0           0           0           0           0           0           0 
