  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      14.11          2.78              1076              3092      2      2           2           6           6           6           6           6           6 
   2      14.13          2.93              3092              8122      2      2           6          20          20          16          16          16          16 
   3      14.19          3.03              8122             18182      2      2          16          60          60          36          36          36          36 
   4      14.14          3.28             18182             38302      2      2          36         144         144          76          76          76          76 
   5      14.09          3.36             38302             74510      2      2          76         324         324         148         148         148         148 
   6      14.11          3.78             74510            139900      2      2         148         664         664         278         278         278         278 
   7      14.09          4.21            139900            245530      2      2         278        1290        1290         488         488         488         488 
   8      14.08          4.40            245530            423050      2      2         488        2352        2352         840         840         840         840 
   9      14.09          4.74            423050            701358      2      2         840        4164        4164        1388        1388        1388        1388 
  10      14.09          5.31            701358           1136023      2      2        1388        7076        7076        2242        2242        2242        2242 
  11      14.08          5.78           1136023           1786995      2      2        2242       11700       11700        3518        3518        3518        3518 
  12      15.08          6.87           1786995           2759604      2      2        3518       18782       18782        5420        5420        5420        5420 
  13      15.10          8.17           2759604           4168179      2      2        5420       29482       29482        8154        8154        8154        8154 
  14      15.09          9.29           4168179           6207958      2      2        8154       45224       45224       12084       12084       12084       12084 
  15      19.10         12.06           6207958           9067359      2      2       12084       68096       68096       17566       17566       17566       17566 
  16      20.11         14.87           9067359          13063128      2      2       17566      100644      100644       25188       25188       25188       25188 
  17      26.11         19.44          13063128          18553979      2      2       25188      146348      146348       35548       35548       35548       35548 
  18      31.12         24.55          18553979          26057569      2      2       35548      209508      209508       49564       49564       49564       49564 
  19      36.13         31.60          26057569          36084338      2      2       49564      295744      295744       68154       68154       68154       68154 
  20      44.16         42.08          36084338          49461662      2      2       68154      411830      411830       92714       92714       92714       92714 
  21      57.16         55.66          49461662          67079994      2      2       92714      566458      566458      124608      124608      124608      124608 
  22      73.17         73.58          67079994          90103558      2      2      124608      769848      769848      165822      165822      165822      165822 
  23      89.22         94.23          90103558         119742269      2      2      165822     1034720     1034720      218318      218318      218318      218318 
  24     125.24        132.45         119742269         157903840      2      2      218318     1375936     1375936      284844      284844      284844      284844 
  25     134.26        171.37         157904855         206360675      3      2      284844     1811398     1811398      368064      368064      368052      687771 
  26     136.29        215.19         206361334         267443280      3      2      368052     2361646     2361646      471642      471642      471630      785420 
  27     141.28        281.03         267443505         343870647      3      2      471630     3050964     3050964      599058      599058      599036     1198116 
  28     205.36        358.49         343873685         439134877      4      2      599036     3906634     3906634      755001      755001      754976     1357286 
  29     260.24        472.29         439137645         556317461      5      2      754976     4960162     4960162      943868      943868      943828     1816386 
  30     269.45        568.06         556320582         700112294      6      2      943828     6246434     6246434     1171439     1171439     1171392     2303871 
  31     370.79        720.73         700119155         875265545      7      2     1171392     7804740     7804740     1442958     1442958     1442898     2829102 
  32     441.08        934.76         875274077        1087009172      8      2     1442898     9677698    11312441     3400033     1765290     1765284     5034776 
  33     502.77       1161.37        1087016124        1341142683      9      2     1765284    11912428    13539748     3771877     2144557     2144542     5916497 
  34     616.31       1409.93        1341153389        1645319840     11      2     2144542    14558820    16159198     4188979     2588601     2588552     6539416 
  35     762.31       1724.26        1645335400        2005893159     14      2     2588552    17670696    20713075     6146293     3103914     3103900     8953517 
  36     937.35       2070.33        2005911799        2432345169     16      2     3103900    21303964    24341349     6736587     3699202     3699168    10211879 
  37    1073.04       2429.57        2432371422        2933498596     20      2     3699168    25517142    29873232     8737184     4381094     4381086    12856885 
  38    1249.96       2905.55        2933529150        3518614268     23      2     4381086    30369354    34688206     9477506     5158654     5158608    14219038 
  39    1503.30       3470.07        3518644328        4195786739     28      2     5158608    35920870    41695519    11812775     6038126     6038102    17583972 
  40    1755.59       4052.62        4195826768        4976618910     33      2     6038102    42230224    48993622    13791692     7028294     7028256    20566755 
  41    2053.95       4768.33        4976655456        5870860202     38      2     7028256    49354870    57280187    16059883     8134566     8134518    24004544 
  42    2374.51       5526.14        5870906365        6889765681     45      2     8134518    57348062    66713246    18729873     9364689     9364650    27574270 
  43    2726.20       6422.46        6889827826        8044960645     53      2     9364650    66258980    76731401    21194782    10722361    10722312    31856081 
  44    3124.76       7312.40        8045025180        9348750159     61      2    10722312    76129650    87403520    23487647    12213777    12213700    35127040 
  45    3698.49       8401.30        9348840879       10808093131     71      2    12213700    86995118   100835859    27680707    13839966    13839898    43514604 
  46    4195.40       9552.86       10808182564       12437355626     82      2    13839898    98879810   113496885    30221839    15604764    15604634    48704626 
  47    4787.53      10802.54       12437467861       14243911937     94      2    15604634   111798078   128681799    34389593    17505872    17505744    57240521 
  48    5496.28      12246.33       14244042410       16234422005    108      2    17505744   125750874   144441711    38234758    19543921    19543786    64996093 
  49    6292.95      13692.50       16234582915       18418637653    122      2    19543786   140725894   162127849    43114630    21712675    21712534    74662469 
  50    6803.62      15347.36       18418832265       20802705774    139      2    21712534   156694902   180353977    47668158    24009083    24008924    85308281 
  51    7614.42      16894.72       20802917242       23383659935    156      2    24008924   173614502   199300017    52107889    26422374    26422182    94066769 
  52    8461.75      18796.57       23383905493       26172852946    176      2    26422182   191423218   219747003    57269106    28945321    28945114   104818178 
  53    9180.19      20612.32       26173111836       29162414456    196      2    28945114   210043364   240645881    62165114    31562597    31562326   115528173 
  54   10276.35      22688.80       29162723881       32346975819    219      2    31562326   229378852   263482086    68365909    34262675    34262446   128163588 
