  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      14.11          2.76               830              2334      2      2           2           6           6           6           6           6           6 
   2      14.12          2.80              2334              6134      2      2           6          20          20          16          16          16          16 
   3      14.11          2.99              6134             13714      2      2          16          60          60          36          36          36          36 
   4      14.25          3.17             13714             28894      2      2          36         144         144          76          76          76          76 
   5      14.12          3.51             28894             56206      2      2          76         324         324         148         148         148         148 
   6      14.20          3.90             56206            102102      2      2         148         650         650         269         269         269         269 
   7      14.14          4.03            102102            179110      2      2         269        1232        1232         472         472         472         472 
   8      14.11          4.33            179110            301206      2      2         472        2218        2218         793         793         793         793 
   9      14.10          4.47            301206            491450      2      2         793        3838        3838        1290        1290        1290        1290 
  10      14.09          4.93            491450            777318      2      2        1290        6374        6374        2034        2034        2034        2034 
  11      15.09          5.69            777318           1198301      2      2        2034       10272       10272        3126        3126        3126        3126 
  12      14.08          6.08           1198301           1803516      2      2        3126       16074       16074        4691        4691        4691        4691 
  13      14.09          6.85           1803516           2663418      2      2        4691       24542       24542        6892        6892        6892        6892 
  14      14.12          7.84           2663418           3860098      2      2        6892       36620       36620        9924        9924        9924        9924 
  15      14.15          9.11           3860098           5494361      2      2        9924       53504       53504       14039       14039       14039       14039 
  16      15.19         11.32           5494361           7686791      2      2       14039       76680       76680       19523       19523       19523       19523 
  17      19.11         13.89           7686791          10612632      2      2       19523      107984      107984       26736       26736       26736       26736 
  18      20.10         16.56          10612632          14458409      2      2       26736      149570      149570       36068       36068       36068       36068 
  19      25.18         20.75          14458409          19427848      2      2       36068      203956      203956       48002       48002       48002       48002 
  20      30.12         25.97          19427848          25769331      2      2       48002      274156      274156       63044       63044       63044       63044 
  21      35.13         31.90          25769331          33819002      2      2       63044      363436      363436       81787       81787       81787       81787 
  22      41.13         39.24          33819002          43883891      2      2       81787      475614      475614      104848      104848      104848      104848 
  23      51.15         50.77          43883891          56306869      2      2      104848      614688      614688      132915      132915      132915      132915 
  24      62.16         61.15          56306869          71552564      2      2      132915      785182      785182      166672      166672      166672      166672 
  25      73.18         77.53          71552564          90094533      2      2      166672      991566      991566      206861      206861      206861      206861 
  26      88.24         92.77          90094533         112344402      2      2      206861     1238846     1238846      254172      254172      254172      254172 
  27     114.22        117.40         112344402         138826241      2      2      254172     1531500     1531500      309330      309330      309330      309330 
  28     135.26        143.06         138826241         170149062      2      2      309330     1874538     1874538      372953      372953      372950      745906 
  29     136.24        178.67         170150658         206830954      3      2      372950     2271966     2271966      445642      445642      445636      445642 
  30     132.26        213.31         206832705         249269369      3      2      445636     2728078     2728078      527841      527841      527826      887900 
  31     135.26        241.82         249270184         298108135      3      2      527826     3245580     3245580      619911      619911      619895      966819 
  32     158.30        291.39         298111605         353978563      4      2      619895     3827460     3827460      722017      722017      721997     1061263 
  33     199.36        338.12         353982246         417155819      4      2      721997     4474320     4474320      834175      834175      834159     1481387 
  34     243.75        397.46         417158508         487974541      5      2      834159     5186954     5186954      956162      956162      956142     1601220 
  35     241.39        468.80         487978464         566831116      5      2      956142     5963160     5963160     1087571     1087571     1087545     1724539 
  36     261.81        527.54         566834971         653401087      6      2     1087545     6800916     6800916     1227683     1227683     1227649     1846226 
  37     316.51        588.75         653406706         747617904      6      2     1227649     7694650     7694650     1375614     1375614     1375567     2261691 
  38     334.91        665.58         747623250         849942336      7      2     1375567     8639176     8639176     1530120     1530120     1530073     2408376 
  39     371.73        774.85         849951864         959638339      8      2     1530073     9625188    11237671     3302260     1689777     1689777     4165526 
  40     436.71        846.96         959648672        1075749307      9      2     1689777    10644328    12222323     3430978     1852983     1852983     4760158 
  41     430.58        931.72        1075756833        1198457011      9      2     1852983    11683922    13218920     3552865     2017867     2017850     4631881 
  42     503.61       1021.38        1198467673        1326473772     10      2     2017850    12732742    14235512     3685089     2182319     2182301     4959959 
  43     510.93       1111.30        1326484487        1457893225     11      2     2182301    13775322    15252718     3821583     2344187     2344174     5070943 
  44     584.78       1199.72        1457907336        1592489259     12      2     2344174    14798596    16239069     3941665     2501192     2501157     5850132 
  45     590.65       1274.47        1592506851        1728823770     13      2     2501157    15785424    17197153     4062726     2650997     2650948     5690143 
  46     666.28       1365.27        1728839200        1865294590     14      2     2650948    16722102    19513415     5582519     2791206     2791200     7189913 
  47     675.52       1430.05        1865304103        2000078456     15      2     2791200    17591288    20325592     5654015     2919711     2919694     7369892 
  48     697.97       1490.69        2000091589        2130148515     16      2     2919694    18380180    21077225     5731339     3034294     3034274     7220881 
