  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      27.21        184.03              3248              4752     64     64           2           6           6           6           6           6           6 
   2      23.21        184.77              4752              8512     64     64           6          20          20          16          16          16          16 
   3      23.20        184.34              8512             16032     64     64          16          60          60          36          36          36          36 
   4      23.19        184.08             16032             31152     64     64          36         144         144          76          76          76          76 
   5      23.19        185.16             31152             58384     64     64          76         324         324         148         148         148         148 
   6      23.18        185.55             58384            104240     64     64         148         650         650         269         269         269         269 
   7      23.16        187.66            104240            181088     64     64         269        1232        1232         472         472         472         472 
   8      23.17        189.26            181088            303044     64     64         472        2218        2218         793         793         793         793 
   9      23.17        193.21            303044            493268     64     64         793        3838        3838        1290        1290        1290        1290 
  10      23.17        197.98            493268            778996     64     64        1290        6374        6374        2034        2034        2034        2034 
  11      23.16        203.19            778996           1200059     64     64        2034       10272       10272        3126        3126        3126        3126 
  12      23.18        210.72           1200059           1805234     64     64        3126       16074       16074        4691        4691        4691        4691 
  13      24.16        218.31           1805234           2665116     64     64        4691       24542       24542        6892        6892        6892        6892 
  14      24.17        226.26           2665116           3861796     64     64        6892       36620       36620        9924        9924        9924        9924 
  15      24.17        238.68           3861796           5496019     64     64        9924       53504       53504       14039       14039       14039       14039 
  16      24.15        248.20           5496019           7688529     64     64       14039       76680       76680       19523       19523       19523       19523 
  17      24.16        262.25           7688529          10614130     64     64       19523      107984      107984       26736       26736       26736       26736 
  18      24.16        270.01          10614130          14459807     64     64       26736      149570      149570       36068       36068       36068       36068 
  19      24.17        279.41          14459807          19429806     64     64       36068      203956      203956       48002       48002       48002       48002 
  20      24.17        287.77          19429806          25771189     64     64       48002      274156      274156       63044       63044       63044       63044 
  21      24.17        301.97          25771189          33820860     64     64       63044      363436      363436       81787       81787       81787       81787 
  22      24.17        316.54          33820860          43885609     64     64       81787      475614      475614      104848      104848      104848      104848 
  23      25.16        335.64          43885609          56308587     64     64      104848      614688      614688      132915      132915      132915      132915 
  24      25.21        353.44          56308587          71554262     64     64      132915      785182      785182      166672      166672      166672      166672 
  25      26.22        373.23          71554262          90096151     64     64      166672      991566      991566      206861      206861      206861      206861 
  26      25.18        397.50          90096151         112346040     64     64      206861     1238846     1238846      254172      254172      254172      254172 
  27      26.16        425.01         112346040         138827979     64     64      254172     1531500     1531500      309330      309330      309330      309330 
  28      26.16        454.67         138827979         170150740     64     64      309330     1874538     1874538      372950      372950      372950      372950 
  29      26.21        480.98         170150740         206832612     64     64      372950     2271966     2271966      445636      445636      445636      445636 
  30      27.20        511.11         206832612         249271087     64     64      445636     2728078     2728078      527826      527826      527826      527826 
  31      28.30        550.33         249271087         298109573     64     64      527826     3245580     3245580      619895      619895      619895      619895 
  32      28.16        616.56         298109573         353977881     64     64      619895     3827460     3827460      721997      721997      721997      721997 
  33      34.21        691.03         353977881         417151937     64     64      721997     4474320     4474320      834159      834159      834159      834159 
  34      34.17        739.65         417151937         487975019     64     64      834159     5186954     5186954      956142      956142      956142      956142 
  35      35.17        794.54         487975019         566834594     64     64      956142     5963160     5963160     1087545     1087545     1087545     1087545 
  36      36.23        855.47         566834594         653404405     64     64     1087545     6800916     6800916     1227649     1227649     1227649     1227649 
  37      37.17        915.62         653404405         747620402     64     64     1227649     7694650     7694650     1375567     1375567     1375567     1375567 
  38      37.19        984.49         747620402         849944254     64     64     1375567     8639176     8639176     1530073     1530073     1530073     1530073 
  39      43.19       1057.76         849944254         959640057     64     64     1530073     9625188     9625188     1689777     1689777     1689777     1689777 
  40      39.18       1129.65         959640057        1075750945     64     64     1689777    10644328    10644328     1852983     1852983     1852983     1852983 
  41      40.19       1200.57        1075750945        1198458709     64     64     1852983    11683922    11683922     2017850     2017850     2017850     2017850 
  42      46.19       1278.85        1198458709        1326475350     64     64     2017850    12732742    12732742     2182301     2182301     2182301     2182301 
  43      47.19       1355.64        1326475350        1457894903     64     64     2182301    13775322    13775322     2344174     2344174     2344174     2344174 
  44      49.21       1434.19        1457894903        1592490877     64     64     2344174    14798596    14798596     2501157     2501157     2501157     2501157 
  45      50.19       1501.16        1592490877        1728812728     64     64     2501157    15785424    15785424     2650948     2650948     2650948     2650948 
  46      51.18       1573.43        1728812728        1865270188     64     64     2650948    16722102    16722102     2791200     2791200     2791200     2791200 
  47      56.21       1645.94        1865270188        2000073954     64     64     2791200    17591288    17591288     2919694     2919694     2919694     2919694 
  48      57.21       1700.61        2000073954        2130156093     64     64     2919694    18380180    18380180     3034274     3034274     3034274     3034274 
  49      57.21       1760.81        2130156093        2252590021     64     64     3034274    19072900    19072900     3133018     3133018     3133018     3133018 
  50      58.20       1804.55        2252590021        2367263899     64     64     3133018    19659094    19659094     3214199     3214199     3214199     3214199 
  51      59.21       1846.40        2367263899        2472630239     64     64     3214199    20125802    20125802     3276395     3276395     3276395     3276395 
  52      59.20       1874.12        2472630239        2565262244     64     64     3276395    20466584    20466584     3318493     3318493     3318493     3318493 
  53      59.20       1894.54        2565262244        2645011226     64     64     3318493    20672786    20672786     3339734     3339734     3339734     3339734 
  54      59.21       1900.83        2645011226        2710639461     64     64     3339734    20742720    20742720     3339734     3339734     3339734     3339734 
  55      60.52       1906.10        2710639461        2759026739     64     64     3339734    20672786    20672786     3318493     3318493     3318493     3318493 
  56      59.21       1893.26        2759026739        2790752970     64     64     3318493    20466584    20466584     3276395     3276395     3276395     3276395 
  57      58.21       1866.49        2790752970        2805373668     64     64     3276395    20125802    20125802     3214199     3214199     3214199     3214199 
  58      58.20       1841.27        2805373668        2800723266     64     64     3214199    19659094    19659094     3133018     3133018     3133018     3133018 
  59      58.20       1799.19        2800723266        2778347696     64     64     3133018    19072900    19072900     3034274     3034274     3034274     3034274 
  60      57.24       1753.78        2778347696        2738758813     64     64     3034274    18380180    18380180     2919694     2919694     2919694     2919694 
  61      56.21       1703.96        2738758813        2681025020     64     64     2919694    17591288    17591288     2791200     2791200     2791200     2791200 
  62      51.20       1633.12        2681025020        2608879026     64     64     2791200    16722102    16722102     2650948     2650948     2650948     2650948 
  63      50.48       1574.02        2608879026        2524332176     64     64     2650948    15785424    15785424     2501157     2501157     2501157     2501157 
  64      49.35       1495.14        2524332176        2424445566     64     64     2501157    14798596    14798596     2344174     2344174     2344174     2344174 
  65      49.41       1433.40        2424445566        2311490505     64     64     2344174    13775322    13775322     2182301     2182301     2182301     2182301 
  66      47.19       1346.39        2311490505        2188400869     64     64     2182301    12732742    12732742     2017850     2017850     2017850     2017850 
  67      46.19       1275.40        2188400869        2056503428     64     64     2017850    11683922    11683922     1852983     1852983     1852983     1852983 
  68      41.18       1198.44        2056503428        1919142222     64     64     1852983    10644328    10644328     1689777     1689777     1689777     1689777 
  69      39.18       1118.20        1919142222        1778295824     64     64     1689777     9625188     9625188     1530073     1530073     1530073     1530073 
  70      38.18       1044.50        1778295824        1635308216     64     64     1530073     8639176     8639176     1375567     1375567     1375567     1375567 
  71      37.17        978.41        1635308216        1492915337     64     64     1375567     7694650     7694650     1227649     1227649     1227649     1227649 
  72      36.23        914.89        1492915337        1352863666     64     64     1227649     6800916     6800916     1087545     1087545     1087545     1087545 
  73      36.18        847.15        1352863666        1216212965     64     64     1087545     5963160     5963160      956142      956142      956142      956142 
  74      35.18        784.23        1216212965        1084994921     64     64      956142     5186954     5186954      834159      834159      834159      834159 
  75      34.31        734.61        1084994921         960249594     64     64      834159     4474320     4474320      721997      721997      721997      721997 
  76      29.22        671.05         960249594         842658680     64     64      721997     3827460     3827460      619895      619895      619895      619895 
  77      28.15        601.79         842658680         733343496     64     64      619895     3245580     3245580      527826      527826      527826      527826 
  78      28.20        548.48         733343496         632770615     64     64      527826     2728078     2728078      445636      445636      445636      445636 
  79      27.16        512.45         632770615         540979098     64     64      445636     2271966     2271966      372950      372950      372950      372950 
  80      26.15        481.77         540979098         458365035     64     64      372950     1874538     1874538      309330      309330      309330      309330 
  81      26.15        449.82         458365035         384724685     64     64      309330     1531500     1531500      254172      254172      254172      254172 
  82      26.22        420.45         384724685         319726545     64     64      254172     1238846     1238846      206861      206861      206861      206861 
  83      25.16        392.36         319726545         263057897     64     64      206861      991566      991566      166672      166672      166672      166672 
  84      25.16        365.76         263057897         214201199     64     64      166672      785182      785182      132915      132915      132915      132915 
  85      24.16        345.48         214201199         172462787     64     64      132915      614688      614688      104848      104848      104848      104848 
  86      24.16        328.60         172462787         137300733     64     64      104848      475614      475614       81787       81787       81787       81787 
  87      24.17        316.64         137300733         108013684     64     64       81787      363436      363436       63044       63044       63044       63044 
  88      24.17        297.75         108013684          83891751     64     64       63044      274156      274156       48002       48002       48002       48002 
  89      24.16        285.14          83891751          64299365     64     64       48002      203956      203956       36068       36068       36068       36068 
  90      24.16        276.47          64299365          48619201     64     64       36068      149570      149570       26736       26736       26736       26736 
