  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
   1      18.13         38.04              1376              2880     16     16           2           6           6           6           6           6           6 
   2      21.14         37.68              2880              6640     16     16           6          20          20          16          16          16          16 
   3      18.13         38.07              6640             14200     16     16          16          60          60          36          36          36          36 
   4      20.13         38.20             14200             29360     16     16          36         144         144          76          76          76          76 
   5      18.17         39.40             29360             56652     16     16          76         324         324         148         148         148         148 
   6      18.12         39.76             56652            102528     16     16         148         650         650         269         269         269         269 
   7      18.18         41.39            102528            179496     16     16         269        1232        1232         472         472         472         472 
   8      18.11         42.91            179496            301592     16     16         472        2218        2218         793         793         793         793 
   9      20.12         44.82            301592            491836     16     16         793        3838        3838        1290        1290        1290        1290 
  10      19.17         48.75            491836            777684     16     16        1290        6374        6374        2034        2034        2034        2034 
  11      21.11         51.98            777684           1198687     16     16        2034       10272       10272        3126        3126        3126        3126 
  12      18.12         55.71           1198687           1803882     16     16        3126       16074       16074        4691        4691        4691        4691 
  13      19.12         60.05           1803882           2663804     16     16        4691       24542       24542        6892        6892        6892        6892 
  14      19.22         63.94           2663804           3860464     16     16        6892       36620       36620        9924        9924        9924        9924 
  15      19.12         67.62           3860464           5494707     16     16        9924       53504       53504       14039       14039       14039       14039 
  16      19.14         72.28           5494707           7687197     16     16       14039       76680       76680       19523       19523       19523       19523 
  17      19.11         77.97           7687197          10612818     16     16       19523      107984      107984       26736       26736       26736       26736 
  18      22.17         83.64          10612818          14458675     16     16       26736      149570      149570       36068       36068       36068       36068 
  19      20.12         92.26          14458675          19428494     16     16       36068      203956      203956       48002       48002       48002       48002 
  20      20.22        101.49          19428494          25769557     16     16       48002      274156      274156       63044       63044       63044       63044 
  21      21.12        111.72          25769557          33819248     16     16       63044      363436      363436       81787       81787       81787       81787 
  22      24.12        123.46          33819248          43884357     16     16       81787      475614      475614      104848      104848      104848      104848 
  23      27.15        140.69          43884357          56307275     16     16      104848      614688      614688      132915      132915      132915      132915 
  24      28.21        156.17          56307275          71552930     16     16      132915      785182      785182      166672      166672      166672      166672 
  25      29.12        181.93          71552930          90094899     16     16      166672      991566      991566      206861      206861      206861      206861 
  26      34.13        204.65          90094899         112344768     16     16      206861     1238846     1238846      254172      254172      254172      254172 
  27      35.15        230.73         112344768         138826627     16     16      254172     1531500     1531500      309330      309330      309330      309330 
  28      42.16        260.54         138826627         170149448     16     16      309330     1874538     1874538      372950      372950      372950      372950 
  29      43.14        295.69         170149448         206831320     16     16      372950     2271966     2271966      445636      445636      445636      445636 
  30      50.15        334.22         206831320         249269695     16     16      445636     2728078     2728078      527826      527826      527826      527826 
  31      52.17        381.96         249269695         298108361     16     16      527826     3245580     3245580      619895      619895      619895      619895 
  32      62.17        431.16         298108361         353977249     16     16      619895     3827460     3827460      721997      721997      721997      721997 
  33      67.19        489.56         353977249         417151365     16     16      721997     4474320     4474320      834159      834159      834159      834159 
  34      76.18        551.42         417151365         487973867     16     16      834159     5186954     5186954      956142      956142      956142      956142 
  35      87.19        627.26         487973867         566832962     16     16      956142     5963160     5963160     1087545     1087545     1087545     1087545 
  36      95.20        700.49         566832962         653402513     16     16     1087545     6800916     6800916     1227649     1227649     1227649     1227649 
  37     103.47        775.45         653402513         747618910     16     16     1227649     7694650     7694650     1375567     1375567     1375567     1375567 
  38     119.22        872.54         747618910         849942862     16     16     1375567     8639176     8639176     1530073     1530073     1530073     1530073 
  39     134.28        956.49         849942862         959638705     16     16     1530073     9625188     9625188     1689777     1689777     1689777     1689777 
  40     144.24       1053.69         959638705        1075749673     16     16     1689777    10644328    10644328     1852983     1852983     1852983     1852983 
  41     156.28       1145.89        1075749673        1198457397     16     16     1852983    11683922    11683922     2017850     2017850     2017850     2017850 
  42     171.27       1229.47        1198457397        1326474118     16     16     2017850    12732742    12732742     2182301     2182301     2182301     2182301 
  43     186.29       1321.17        1326474118        1457893571     16     16     2182301    13775322    13775322     2344174     2344174     2344174     2344174 
  44     188.30       1433.73        1457893571        1592489665     16     16     2344174    14798596    14798596     2501157     2501157     2501157     2501157 
  45     213.31       1521.99        1592489665        1728818436     16     16     2501157    15785424    15785424     2650948     2650948     2650948     2650948 
  46     230.37       1611.75        1728818436        1865273956     16     16     2650948    16722102    16722102     2791200     2791200     2791200     2791200 
  47     224.36       1673.96        1865273956        2000075622     16     16     2791200    17591288    17591288     2919698     2919698     2919694     3125761 
  48     244.34       1788.05        2000075622        2130153401     16     16     2919694    18380180    18380180     3034297     3034297     3034274     4075294 
  49     237.35       1849.84        2130154595        2252586249     18     16     3034274    19072900    19072900     3133064     3133064     3133018     4775646 
  50     237.36       1889.26        2252595822        2367261747     23     16     3133018    19659094    19659094     3214287     3214287     3214199     4979080 
  51     230.56       1946.74        2367270467        2472628867     24     16     3214199    20125802    20125802     3276510     3276510     3276395     5763825 
  52     225.34       1982.41        2472644693        2565260912     27     16     3276395    20466584    20466584     3318648     3318648     3318493     5916666 
  53     217.32       1978.48        2565278507        2645010014     28     16     3318493    20672786    20672786     3339861     3339861     3339734     5884177 
  54     213.34       1987.91        2645028098        2710638209     30     16     3339734    20742720    20742720     3339889     3339889     3339734     5623334 
  55     214.35       2012.53        2710661287        2759025527     31     16     3339734    20672786    20672786     3318641     3318641     3318493     5367998 
  56     203.31       1957.94        2759045169        2790751778     32     16     3318493    20466584    20466584     3276552     3276552     3276395     5090247 
  57     203.31       1932.81        2790773222        2805372456     32     16     3276395    20125802    20125802     3214360     3214360     3214199     4975529 
  58     202.31       1902.40        2805391502        2800722054     32     16     3214199    19659094    19659094     3133154     3133154     3133018     4687925 
  59     198.32       1854.59        2800745750        2778346484     32     16     3133018    19072900    19072900     3034408     3034408     3034274     4397702 
  60     192.35       1807.75        2778370050        2738757641     32     16     3034274    18380180    18380180     2919803     2919803     2919694     4093930 
  61     184.30       1742.50        2738778130        2681024168     31     16     2919694    17591288    17591288     2791303     2791303     2791200     3656694 
  62     189.29       1682.85        2681047398        2608889754     30     16     2791200    16722102    16722102     2651052     2651052     2650948     3354332 
  63     176.28       1594.16        2608906007        2524339804     28     16     2650948    15785424    15785424     2501243     2501243     2501157     2923243 
  64     172.29       1499.47        2524350264        2424445074     26     16     2501157    14798596    14798596     2344257     2344257     2344174     2888169 
  65     166.29       1409.48        2424456409        2311489413     25     16     2344174    13775322    13775322     2182356     2182356     2182301     2450934 
  66     169.27       1335.20        2311499234        2188398437     23     16     2182301    12732742    12732742     2017898     2017898     2017850     2272499 
  67     155.26       1216.52        2188400761        2056501736     18     16     2017850    11683922    11683922     1853008     1853008     1852983     2340826 
  68     155.23       1126.77        2056501736        1919141030     16     16     1852983    10644328    10644328     1689777     1689777     1689777     1689777 
  69     132.24       1029.39        1919141030        1778294652     16     16     1689777     9625188     9625188     1530073     1530073     1530073     1530073 
  70     123.21        941.03        1778294652        1635307064     16     16     1530073     8639176     8639176     1375567     1375567     1375567     1375567 
  71     115.35        854.89        1635307064        1492914165     16     16     1375567     7694650     7694650     1227649     1227649     1227649     1227649 
  72     101.64        757.15        1492914165        1352862514     16     16     1227649     6800916     6800916     1087545     1087545     1087545     1087545 
  73      98.20        691.78        1352862514        1216211773     16     16     1087545     5963160     5963160      956142      956142      956142      956142 
  74      82.17        610.31        1216211773        1084993769     16     16      956142     5186954     5186954      834159      834159      834159      834159 
  75      76.18        542.16        1084993769         960248502     16     16      834159     4474320     4474320      721997      721997      721997      721997 
  76      67.16        482.18         960248502         842657548     16     16      721997     3827460     3827460      619895      619895      619895      619895 
  77      59.21        420.35         842657548         733342284     16     16      619895     3245580     3245580      527826      527826      527826      527826 
  78      56.14        370.74         733342284         632769443     16     16      527826     2728078     2728078      445636      445636      445636      445636 
  79      44.15        324.82         632769443         540977966     16     16      445636     2271966     2271966      372950      372950      372950      372950 
  80      43.14        285.80         540977966         458363923     16     16      372950     1874538     1874538      309330      309330      309330      309330 
  81      37.18        252.42         458363923         384723493     16     16      309330     1531500     1531500      254172      254172      254172      254172 
  82      35.11        221.25         384723493         319725373     16     16      254172     1238846     1238846      206861      206861      206861      206861 
  83      29.12        194.31         319725373         263056745     16     16      206861      991566      991566      166672      166672      166672      166672 
