  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
  65     266.38       1131.13        2424464080        2311486245     20      4     2344174    13775322    13775322     2182372     2182372     2182301     2182372 
  66     248.39       1069.56        2311500770        2188397369     20      4     2182301    12732742    12732742     2017935     2017935     2017850     2273560 
  67     231.49        980.57        2188410821        2056501188     17      4     2017850    11683922    11683922     1853044     1853044     1852983     1853044 
  68     209.88        893.04        2056516891        1919140682     16      4     1852983    10644328    10644328     1689828     1689828     1689777     1689828 
  69     193.33        820.70        1919155867        1778294344     16      4     1689777     9625188     9625188     1530139     1530139     1530073     1530139 
  70     180.38        749.06        1778308438        1635306796     16      4     1530073     8639176     8639176     1375629     1375629     1375567     1375629 
  71     163.28        672.33        1635321132        1492913857     13      4     1375567     7694650     7694650     1227691     1227691     1227649     1227691 
  72     140.45        593.64        1492924950        1352862226     12      4     1227649     6800916     6800916     1087591     1087591     1087545     1087591 
  73     128.22        525.37        1352871015        1216211465     12      4     1087545     5963160     5963160      956178      956178      956142      956178 
  74     110.21        463.08        1216223609        1084993461     12      4      956142     5186954     5186954      834199      834199      834159      834199 
  75      98.21        393.41        1084997318         960248214      8      4      834159     4474320     4474320      722013      722013      721997      722013 
  76      82.45        341.00         960255272         842657260      8      4      721997     3827460     3827460      619913      619913      619895      619913 
  77      76.17        298.23         842661849         733342016      8      4      619895     3245580     3245580      527847      527847      527826      527847 
  78      69.50        254.36         733349169         632769115      8      4      527826     2728078     2728078      445655      445655      445636      445655 
  79      57.14        219.15         632775335         540977678      8      4      445636     2271966     2271966      372969      372969      372950      372969 
  80      49.14        175.68         540977678         458363615      4      4      372950     1874538     1874538      309330      309330      309330      309330 
  81      44.13        149.02         458363615         384723225      4      4      309330     1531500     1531500      254172      254172      254172      254172 
  82      38.12        122.87         384723225         319725065      4      4      254172     1238846     1238846      206861      206861      206861      206861 
  83      35.13        102.95         319725065         263056437      4      4      206861      991566      991566      166672      166672      166672      166672 
  84      30.13         85.84         263056437         214199739      4      4      166672      785182      785182      132915      132915      132915      132915 
  85      27.11         71.10         214199739         172461347      4      4      132915      614688      614688      104848      104848      104848      104848 
  86      25.10         60.29         172461347         137299253      4      4      104848      475614      475614       81787       81787       81787       81787 
  87      23.10         50.66         137299253         108012264      4      4       81787      363436      363436       63044       63044       63044       63044 
  88      21.11         43.06         108012264          83890351      4      4       63044      274156      274156       48002       48002       48002       48002 
  89      19.10         36.38          83890351          64297905      4      4       48002      203956      203956       36068       36068       36068       36068 
